GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOFUE,G16PREOWRI,G16USSRAYO,G16USSDHAS,G16USSLCHA,G16USSIDAY,G16USSOWRI,G16GOVRSUN,G16GOVDVAN,G16GOVLABR,G16GOVOWRI
33009BRID01,33,009,BRID01,458.8,293,27.3,4.8,0.1,5.7,450.1,303.6,7.5,14.2,0.2,311.5,326.4,26,2.3
33009BRIS01,33,009,BRIS01,830.5,577,68.1,19.2,3.6,37.5,804,645.4,31.2,50.4,4.5,790.1,606.1,95.4,7.3
33009CAMP01,33,009,CAMP01,855.7,875.4,86.6,19.7,3,39.3,878.4,915.7,43.3,47.2,3.9,752.5,996.4,103.3,3.9
33009CANA01,33,009,CANA01,850,938,65,26,2,14,836,995,29,55,1,857,941,85,2
33009DORC01,33,009,DORC01,167.2,70.1,16.8,11.8,0,5.3,151,91.5,11.4,11.1,0,142.4,94.2,24,2.7
33009EASN01,33,009,EASN01,65,118,7,3,0,5,74,115,3,4,2,54,132,7,2
33009ELLS01,33,009,ELLS01,24,26,5,2,0,0,22,30,2,1,0,24,28,2,0
33009ENFI01,33,009,ENFI01,932.3,1448.4,119.2,25.1,1,73.1,1006.5,1460.4,47.1,59.1,1,997.5,1429.2,108.2,3
33009FRCA01,33,009,FRCA01,233,483,18,9,0,15,278,447,5,6,0,249,463,18,2
33009GRAF01,33,009,GRAF01,401.4,269.8,33.3,8.2,1,18.2,371.2,289.1,27.1,32.4,1,372.9,287.4,46.5,1
33009GROT01,33,009,GROT01,189.2,124.2,13.7,2.7,0.1,7.1,181,131.3,5.7,16.4,0,160.2,137.2,24.7,3.4
33009HANO01,33,009,HANO01,932.7,6580.4,189.8,50.3,1,122.9,1654.7,6010.7,72.3,51.4,0,1531.6,5692.1,197.8,6
33009HAVE01,33,009,HAVE01,1182.2,782.5,105.7,20.9,4,62.8,1234.1,771.5,50.8,75.8,1,1200.2,756.6,128.6,13
33009HEBR01,33,009,HEBR01,239,175.6,13.1,2,0,12.1,284,153.7,1,4,0,270.9,156.7,5.1,1
33009HOLD01,33,009,HOLD01,534.5,689.2,42.1,8.8,3.9,23.5,579.5,676.5,12.7,18.6,0,533.5,698,34.3,2.9
33009LAND01,33,009,LAND01,140,113.7,10.2,1.2,5,7,158.6,71.6,1.8,9.6,0,144.2,116.5,9.5,1
33009LEBA01,33,009,LEBA01,571.3,1650.6,70.2,26.7,3,76.1,739.3,1592.3,27.7,36.6,0,732.4,1544.8,66.2,2
33009LEBA02,33,009,LEBA02,603.7,1536.2,73.7,39.9,2,50.8,689.4,1519.3,40.9,54.8,0,726.3,1448.6,99.6,3
33009LEBA03,33,009,LEBA03,657.9,1688.4,94.1,39.1,3,53.1,737.1,1667.3,36.1,52.1,1,744.2,1607.2,92.2,5
33009LINC01,33,009,LINC01,367,408,45,13,2,18,403,408,17,17,0,377,393,58,1
33009LISB01,33,009,LISB01,382,253.3,33.8,5.8,1,29,370.4,280.4,24.2,18.4,1,357.8,277.5,44.5,1
33009LITT01,33,009,LITT01,1430.4,1236.1,119.5,35.9,0,96.6,1535,1245.1,40.8,81.7,0,1460.3,1285,138.5,8
33009LIVE01,33,009,LIVE01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33009LYMA01,33,009,LYMA01,173,129.5,14.3,4.1,0,14.3,186.3,134.5,4.1,6.2,2,169.1,139.6,11.4,3
33009LYME01,33,009,LYME01,236.5,891.7,32.5,11.4,1,22.1,308,849.4,10.4,15.3,1,290.9,826.4,27.7,0.1
33009MONR01,33,009,MONR01,291.6,173.4,20,5,0,9,299.6,165.4,12,18,0,301.6,164.4,16,0
33009ORAN01,33,009,ORAN01,85,73,6,2,0,7,78,85,2,8,0,82,80,9,0
33009ORFO01,33,009,ORFO01,256,417,30,14,2,25,294,407,12,20,0,295,410,25,1
33009PIER01,33,009,PIER01,174.7,178.7,24,3,0,14,171.7,206.6,8,11,0,181.7,190.6,18,1
33009PLYM01,33,009,PLYM01,1392.2,2137.5,190.1,57.6,8,28.2,1430.8,2173.9,97.4,100.4,5,1430.8,2064.3,198.9,17.9
33009RUMN01,33,009,RUMN01,439.8,351.2,34.6,11.6,1,8.7,431.1,375.3,18.3,23.1,0,416.7,367.6,45.2,0
33009SUGA01,33,009,SUGA01,159,237,15,10,0,8,189,227,7,5,0,166,242,13,1
33009THOR01,33,009,THOR01,665.1,750.4,89.4,14.3,0,27.6,687.5,765.1,38.7,40.8,0.1,587.4,805.4,110.7,5.1
33009WARR01,33,009,WARR01,261,180,14,5,0,12,235,219,5,9,0,238,195,20,2
33009WATE01,33,009,WATE01,130.9,184.2,10.3,2.2,1.4,7.9,154.5,179.2,2,3.9,0,147,173.3,10.8,0
33009WENT01,33,009,WENT01,324.4,175.7,16.2,5.1,0,13.1,318.2,190.9,8.1,14.1,0,308.2,196.9,16.2,2
33009WOOD01,33,009,WOOD01,335.2,378.2,43,3,0,25,367.2,377.2,18,15,1,306.1,409.2,47,0
33011AMHE01,33,011,AMHE01,3212.6,3708.2,247.7,46.2,3.9,0.3,3868.3,3344.8,112,96.4,0,3683,3322.8,270.3,0.1
33011ANTR01,33,011,ANTR01,752.1,671,71.4,13.1,12,17.1,722.9,704.4,38.2,53.2,1,690.8,698.3,107.4,0
33011BEDF01,33,011,BEDF01,6854.1,5892.2,539.8,58.8,6.1,303.8,8042.3,5227.8,154.1,190.9,2.1,7944,5130,391,21.8
33011BENN01,33,011,BENN01,398.6,311,38.7,7.5,1.9,18.9,377.4,337.2,19.8,31,1.9,365.1,324.9,50.9,5.6
33011BRKL01,33,011,BRKL01,1494.2,1410.6,169.2,31.9,3,57.7,1719.2,1311,56.7,47.8,2,1707.2,1284.1,107.5,3
33011DRNG01,33,011,DRNG01,576.7,376.9,54.1,9.8,1,25.6,562.9,411.4,26.6,35.4,2,558,392.7,62,4.9
33011FRNT01,33,011,FRNT01,473.1,494.9,31,20.6,0.1,14.3,535.9,508.6,22.5,21.2,1.1,518,494.9,44.8,1.4
33011GOFF01,33,011,GOFF01,4995.1,4134.5,410.9,56.8,7,202.4,5182.6,4158.4,168.5,204.4,1,5073.9,4055.7,383.9,1
33011GRFD01,33,011,GRFD01,412.7,430.7,51.7,12.9,0,18.9,412.5,446.7,23.9,30.9,2,397.6,444.6,62.7,2
33011GRNV01,33,011,GRNV01,494.1,379.6,46.2,11,9,29,448.2,445.5,31.1,50,2,451,426.6,73.1,6
33011HANC01,33,011,HANC01,430.5,708.9,38.8,6,5,24.9,484.2,700.9,11.9,14.9,0,470.3,685,35.8,1
33011HILS01,33,011,HILS01,1592.1,1200.2,153.4,25.1,2,52.2,1506.1,1324.4,76.2,89.3,0,1468.2,1304.2,168.4,13
33011HOLL01,33,011,HOLL01,2271.9,2487.1,246.8,46.2,1,88.5,2692.7,2284.6,67.9,66.9,3,2626.8,2219.6,174.1,5.9
33011HUDS01,33,011,HUDS01,7223.4,5321.6,546.5,96.2,15.9,173,7158,5439.1,213.4,384.6,11.9,7163.2,5114.4,582.5,55.6
33011LITC01,33,011,LITC01,2707.9,1918.6,226,35.9,4,1.4,2799.9,1922.4,71.9,101.2,0.1,2759.4,1847.4,186.7,0.4
33011LYND01,33,011,LYND01,502.5,469.5,63.9,14,9,20,525.5,478.5,28,42,1,512.5,480.5,60.9,2
33011MANC01,33,011,MANC01,2230.3,2986.6,215,39,4,105,2523.9,2858.9,66,98,10,2471,2809.8,184.1,18
33011MANC02,33,011,MANC02,1971,2454.8,211.5,45.9,1,100.8,2103.7,2440.8,80.8,105.7,4,2077.8,2335.1,207.5,19
33011MANC03,33,011,MANC03,970.5,1810.6,128.3,32.6,4,71.1,1019.8,1763.2,74,105.6,2,1070.2,1611.2,185.6,9.9
33011MANC04,33,011,MANC04,1384.9,1886.4,171,47.2,1,75.4,1337.4,1929.6,90.3,146.5,7,1393.3,1818.3,188.8,22.1
33011MANC05,33,011,MANC05,1078,1571,142,38,4,44,1038,1620,66,106,2,1099,1467,153,20
33011MANC06,33,011,MANC06,2422.3,2157,187.5,31.1,7.8,80.7,2527.3,2179.4,60.2,95.2,1,2504.9,2129.8,150.6,18.5
33011MANC07,33,011,MANC07,1700,1962,148,39,7,78,1619,2044,75,138,3,1626,1969,169,30
33011MANC08,33,011,MANC08,2657.8,2168.1,182.2,35.3,8.1,59.1,2618.5,2236.9,92.3,130.7,7.9,2592.3,2198.2,176.4,30.1
33011MANC09,33,011,MANC09,1974.6,2061.3,164.1,32,5,51.9,1949.4,2089.7,91,106.2,3,1931.1,1999.4,196.9,25.9
33011MANC10,33,011,MANC10,1848.6,1992.3,188.3,28.1,1,78.1,1822,2032.3,83.2,139.1,1,1743.6,1983.9,219.1,39.8
33011MANC11,33,011,MANC11,1372,1687.6,162.3,39.8,8,51.8,1298.3,1737.4,85.6,148.3,4,1367,1613.9,188.2,19.9
33011MANC12,33,011,MANC12,1892.9,2140.1,175.9,44.7,5,50.3,1952.2,2149,93.4,104.7,4,1958.6,2063.5,176.6,17.8
33011MASO01,33,011,MASO01,478.1,307.4,65,6.1,1,17.1,511.9,293.6,30.1,17.1,0,458,318.5,57.1,5
33011MERR01,33,011,MERR01,7383.7,6400.6,732.4,102.9,14,269,8046.4,6512.9,226.8,312.4,5,7854.1,6322.6,576.2,46.8
33011MILF01,33,011,MILF01,3900.8,3874.4,402,73.7,5.1,138,4026.1,3918.1,186.7,217.3,5,3979.2,3710,466.9,28
33011MONT01,33,011,MONT01,685.9,756.9,71,12,0,41,776.9,702.9,26,31,1,758.9,706.9,57,4
33011NASH01,33,011,"NASH01",2523.8,2985.8,235.9,47.7,6,93.4,2817.8,2838,91.1,114.1,5.1,2719.9,2802.9,210.9,16.1
33011NASH02,33,011,"NASH02",1975.7,2481.4,199.9,33,3,104.9,2179.6,2393.4,81,106.9,3,2066.7,2353.5,228.8,15
33011NASH03,33,011,"NASH03",1763.2,2468.3,200,40.8,3,80.6,1922.8,2337,99.4,125.4,3,1841.6,2297.9,227.7,19.9
33011NASH04,33,011,"NASH04",1116.2,2074.8,134.9,30,4,47,1059.4,2101.7,77.9,113.9,3,1086.3,1934,211.8,9
33011NASH05,33,011,"NASH05",2572.8,2752,239.1,49,3,101,2727.7,2716.4,97.9,110.9,11,2703.6,2621.5,221.9,21
33011NASH06,33,011,"NASH06",1703.5,2311.5,149.3,40.1,5,80.1,1671.4,2302.6,87.2,149.2,0,1673.5,2171.2,245.5,20
33011NASH07,33,011,"NASH07",1721.3,2191.2,165.3,31.4,4,63.9,1759,2202.9,74.9,118.2,2,1748,2114.7,188.1,24.1
33011NASH08,33,011,"NASH08",1991.5,2673.7,217.8,40.8,3,102.4,2190.1,2581.4,100.4,103.5,2,2161.3,2491.8,196,11
33011NASH09,33,011,"NASH09",2158,2784,184,38,6,78,2421,2608,74,95,1,2370,2570,162,3
33011NBOS01,33,011,NBOS01,1783.2,1374.2,160.2,22.9,3,33.8,1913.5,1355.3,43.8,79.6,1,1817,1343.4,156.2,10.9
33011NIPS01,33,011,NIPS01,1890.1,767.4,137.7,14,3,29.9,1856.2,779.4,64.9,87.8,2,1842.2,751.5,154.7,8
33011PELH01,33,011,PELH01,4629.2,2722.8,254.4,52.1,4,61.1,4438.1,2895.9,114.2,213.3,3,4673.1,2535.7,248.4,13
33011PETE01,33,011,PETE01,1149.8,2425.1,165.8,53.6,1,37.1,1328.3,2389,64.4,70.2,3.9,1286.3,2339.3,133.6,8.8
33011SHAR01,33,011,SHAR01,100.3,136.1,11.6,4.1,0,6.2,110.3,133.2,9.2,3.4,0,108.2,133,11.6,1
33011TEMP01,33,011,TEMP01,400.6,405.7,32.1,16,8,12,442.6,384.7,16,25,0,394.6,395.7,45,6
33011WEAR01,33,011,WEAR01,2956.2,1733.6,280.9,62,8,71,2885.3,1931.5,114,151,0,2848.3,1884.5,261.9,9
33011WILT01,33,011,WILT01,1058.4,1025.5,107.7,33.9,1,46.9,1058.4,1072.4,63.9,66.8,0,1039.5,1061.4,92.8,21
33011WNDS01,33,011,WNDS01,94.3,28.3,2,1,0,0,77.3,35.3,1,9,0,70.3,35.3,8,2
330130BOW01,33,013,0BOW01,2113.7,2561.7,217.2,28,2,138.1,2500.1,2428.6,54,61.1,3,2403.7,2439.3,147.7,6.9
33013ALLE01,33,013,ALLE01,1200.6,873.2,96.8,17,0,30,1069.7,1021.2,37.9,75.7,4,1078.6,963.5,114.7,13.9
33013ANDO01,33,013,ANDO01,687.1,712.5,49.9,7.2,2,5.7,656,745.2,20.4,33.5,1,639.3,738.6,50.9,3.1
33013BOSC01,33,013,BOSC01,925.6,833.5,82.6,16.1,0,39,874.4,879.9,40.7,55.5,1,865.6,872.6,80.6,6
33013BRAD01,33,013,BRAD01,486.7,443.7,41.2,14.9,0,15,480.1,475.5,24.9,19,0,474.1,462.4,43,6
33013CANT01,33,013,CANT01,658.4,796,56.9,19.4,1,33.2,708.1,805.2,22.6,26.7,1,659.7,831.2,48.1,5.9
33013CHIC01,33,013,CHIC01,803.7,609,70.7,6.7,0,13.6,791.3,653.6,19,41.5,0,767.4,666.8,63.2,6.6
33013CONC01,33,013,CONC01,1010.8,1351.9,121,38.9,4.2,58.4,1014.4,1439.6,37.9,67.8,1.3,951.6,1467.1,108.7,5.3
33013CONC02,33,013,CONC02,841.9,1027.8,85.2,22.5,2,51.9,805.5,1095.1,34,67.8,3.7,791.7,1102.5,91,3.9
33013CONC03,33,013,CONC03,530,909,71.8,14,4.8,40.2,583.3,921.2,26.6,25.8,0,533.5,945.2,57.4,6.8
33013CONC04,33,013,CONC04,601.4,1315.3,81.8,27.6,2,41.4,615.2,1338.9,38.5,44.4,3,590.6,1306.4,110.4,7.9
33013CONC05,33,013,CONC05,676.7,1794.4,75.4,22.1,0,60.2,854.5,1707.7,26.2,24.2,0,805.4,1706.5,67.6,4
33013CONC06,33,013,CONC06,622,1134.2,98.6,31.9,3,45.9,599.4,1197.8,56.8,57.8,1,569.5,1176.9,121.5,12.9
33013CONC07,33,013,CONC07,803.5,1678.9,82.3,37.1,1,65.2,910.6,1691,33.2,27.2,2,866.5,1708.9,68.4,3
33013CONC08,33,013,CONC08,879.1,1059.3,70.4,17.9,0,0.1,797,1157.3,37.7,49.6,0,772.3,1155.3,74.4,0
33013CONC09,33,013,CONC09,656.6,1033.4,52.8,13.7,2.7,20.9,636.4,1065.4,0.1,21.9,0.9,637.2,1042.8,48.3,3.6
33013CONC10,33,013,CONC10,1186.7,1676,115.3,18.4,2.3,49.1,1349.5,1652.3,18,36.2,5.1,1279.6,1680,62.9,5.4
33013DANB01,33,013,DANB01,382.3,245.3,29.7,15.8,0,20.8,359.7,271.9,9.9,37.6,0,337.9,289.7,41.6,1
33013DUNB01,33,013,DUNB01,1026,681,69,9,2,41,1076,682,25,29,5,1039,683,62,10
33013EPSO01,33,013,EPSO01,1560.6,930.4,128.3,21.1,2,31.2,1531.5,1026,45.4,0.9,0,1445.1,1052.2,125.2,8.1
33013FRAN01,33,013,FRAN01,769.9,477,60.6,8.3,0.1,26.1,676,584.3,30.6,42,4,657.7,594.1,68.6,7.1
33013FRAN02,33,013,FRAN02,488.8,373.3,57.3,16.2,0.9,24.8,469.7,416.2,22,41,3.8,462.1,411.5,57.3,9.5
33013FRAN03,33,013,FRAN03,775.4,626.8,50.6,15.2,2,41.5,722.8,693.6,21.8,51.9,3.1,727.8,657.2,76.6,10.1
33013HENN01,33,013,HENN01,1060.6,1429.9,134.1,38,2,60,1151.7,1423.9,46,73,1,1128.6,1395.9,128,5
33013HILL01,33,013,HILL01,291.4,157.8,15.9,4.6,0.1,11.4,280,177,10.4,12.7,0.9,249,179.2,39.8,1.1
33013HOOK01,33,013,HOOK01,4278.6,3480.6,297.1,54,4.1,163.3,4402.3,3500,105.3,174.9,0.2,4385,3372,294.5,0.6
33013HOPK01,33,013,HOPK01,1425.5,2237,137.9,38,2,58.9,1647.2,2201.1,45,49,3,1555.3,2234,96.9,7
33013LOUD01,33,013,LOUD01,1975.9,1158.8,148.5,12.3,3,58.3,1915.8,1297.9,43.6,94.4,3,1816.3,1356.2,121.3,13.2
33013NBRY01,33,013,NBRY01,659,618.1,60.7,5,0,16.9,717.5,620.2,10,19.9,0,708.6,584.5,38.9,0
33013NFLD01,33,013,NFLD01,1334.3,896.7,105.7,29,3.9,51.9,1211.2,1035.3,48.1,80.9,2.2,1154,1025.1,132.9,12.1
33013NLON01,33,013,NLON01,1087.6,1785,93.8,23.7,0,50.4,1275.3,1645.7,44.5,36.5,2,1321.7,1538,80,0
33013PEMB01,33,013,PEMB01,1936.5,1828.7,180.7,33.2,5,77.9,1929.3,1926.4,80.4,106.6,7,1880.8,1901.2,197.2,19.1
33013PITF01,33,013,PITF01,1144.3,705,100.7,19.2,1,40.3,1059.9,794.1,45.5,67.9,3,1026.5,764.3,135.5,9.1
33013SALI01,33,013,SALI01,487.5,291,25.3,8.9,0,15.9,462.6,325.5,12.1,21.1,0,441.1,339,1.1,3
33013SUTT01,33,013,SUTT01,564.2,611.7,52.5,13.2,2,0.2,598.4,619.8,17,20,0,580.1,615.9,48.3,0
33013WARN01,33,013,WARN01,785.3,868.2,82.4,30.8,1,34.7,823,895.1,0.1,0.1,2,776.3,907,61.6,2
33013WEBS01,33,013,WEBS01,601.9,499.6,40.1,3.1,2,25,585.1,524.5,21.9,30.9,0,540.1,552.5,54,0
33013WILM01,33,013,WILM01,337.3,492.1,39.5,1,1,23.7,386.6,479.3,11.8,10.8,1,373.7,477.3,18.7,3
330150RYE01,33,015,0RYE01,1578.8,2210.7,165,24,1,80,1895.7,2085.7,43,39,2,1981.7,1922.7,103,2
