GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDSHA,G20USSRMES,G20USSLODO,G20USSOWRI,G20GOVDFEL,G20GOVRSUN,G20GOVLPER,G20GOVOWRI
33011NASH02,33,011,"NASH02",2983.1,2002.7,85.9,3152,1765.9,110.9,2,1884.8,3036.1,76,0
33011NASH03,33,011,"NASH03",2977.6,1918,64.8,3103.4,1699.6,119.3,0,1903.9,2868.6,98.4,7
33011NASH04,33,011,"NASH04",2134.4,1181.6,70,2237.5,976.4,99.1,3,1433.5,1792.3,83.1,1
33011NASH05,33,011,"NASH05",3351.6,2654.1,79,3570.1,2334.7,128,1,2087.2,3824.2,86.9,1
33011NASH06,33,011,"NASH06",2553.4,1651.3,84,2497.4,1401.2,123,5,1647.3,2464.4,74,10
33011NASH07,33,011,"NASH07",2496.2,1743.8,61.3,2655.3,1499.3,83.5,5,1606.6,2551.9,72,6
33011NASH08,33,011,"NASH08",3480.1,1969.2,86.2,3537.4,1791.6,126.2,0,2266.9,3062.1,90.2,2
33011NASH09,33,011,"NASH09",3362,2250,83,3577,1960,109,5,2060,3508,75,4
33011NBOS01,33,011,NBOS01,1817,2026,59.7,1974.2,1822,82.6,1,1096.6,2723.5,43.8,2
33011NIPS01,33,011,NIPS01,960,2094.7,61.9,1044.9,1982,72.8,1,584.8,2473.9,49.9,1
33011PELH01,33,011,PELH01,3484.8,5258.6,121.2,3979.2,4480.9,232.2,5,2022.7,6616.6,124.1,5
33011PETE01,33,011,PETE01,3013.1,1215.2,62.4,3055,1134.3,92.6,1,2296.3,1858.8,53.6,4.9
33011SHAR01,33,011,SHAR01,157.8,123,4.3,164.3,113.4,5.3,0,110.2,169.7,4.2,0
33011TEMP01,33,011,TEMP01,518.9,432.6,11,543.9,395.5,17,0,360.6,574.9,12,0
33011WEAR01,33,011,WEAR01,2210.4,3212.2,97,2460.4,2865.3,142,4,1247.7,4172.9,72,2
33011WILT01,33,011,WILT01,1326.8,1087.4,52.9,1370.7,997.6,76.8,4,878.9,1524.3,36.9,2
33011WNDS01,33,011,WNDS01,33.3,91.3,5,37.3,85.3,6,0,23.2,100.4,4,0
330130BOW01,33,013,0BOW01,3245.7,2161.7,88.8,3398.9,1986.2,93.9,0,2024.4,3426,39.1,5
33013ALLE01,33,013,ALLE01,1049,1230.7,41.9,1170.7,1038.3,79.7,0,555.6,1671.4,39.9,3
33013ANDO01,33,013,ANDO01,856.2,740.8,18.7,910,662.4,24.1,2,630.7,964.6,14.4,5
33013BOSC01,33,013,BOSC01,933.3,1059.2,44.7,1088.8,857,61.7,2,560.2,1421,38.8,3
33013BRAD01,33,013,BRAD01,565.9,480.2,26,604.9,420.2,38,0,364.6,677.5,21,3
33013CANT01,33,013,CANT01,984.6,705.1,26.5,1051,613.2,44.1,1,688.8,974.7,26.5,2
33013CHIC01,33,013,CHIC01,726.9,878.3,33.9,799.4,804.5,49.8,0.9,425.9,1179.4,21.8,1.9
33013CONC01,33,013,CONC01,1650.4,1050.7,55.2,1785.5,882,71.8,1.3,1075.1,1631.5,44.4,4.1
33013CONC02,33,013,CONC02,1255.8,847.3,38.5,1375.1,696.7,56.9,3.7,809.6,1288.8,40.4,0.9
33013CONC03,33,013,CONC03,1155.4,588.1,26.4,1229.4,498,31.5,0,827.1,915.5,18.3,1
33013CONC04,33,013,CONC04,1504,589,47,1562,505,65,3,1182,921,24,2
33013CONC05,33,013,CONC05,1981,650,28,2025,602,35,1,1552,1075,15,1
33013CONC06,33,013,CONC06,1403.2,738,35.9,1453,515.6,73.8,0,1046.2,1041.2,37.9,5
33013CONC07,33,013,CONC07,1905.5,823,45,2032.6,683.9,54,4,1437.9,1298.6,27,1
33013CONC08,33,013,CONC08,1402,896.2,39.6,1528.6,724.7,64.4,2,909.9,1319,39.6,3
33013CONC09,33,013,CONC09,1289.8,651.1,26.1,1332.2,552.5,51.2,1,846.1,956.5,25.1,2
33013CONC10,33,013,CONC10,1958.5,1146.3,32,2085.4,978.4,55,3,1283,1792.8,25,2
33013DANB01,33,013,DANB01,288,410.1,20.8,321.6,371.4,22.8,1,180.8,520.2,16.8,1
33013DUNB01,33,013,DUNB01,877,1121,32,941,1038,40,2,547,1449,20,6
33013EPSO01,33,013,EPSO01,1193.5,1718,45.6,1356.8,1491.7,70,2,644.1,2249.5,43.4,1
33013FRAN01,33,013,FRAN01,598.8,853.9,26.2,705.3,709.3,42.9,1,371.8,1055.8,30,2.1
33013FRAN02,33,013,FRAN02,441,563.3,16.2,495.5,483.1,27.7,0,268.3,718.9,21,4.8
33013FRAN03,33,013,FRAN03,752.3,846.6,25.2,851.7,739.1,0.5,0,456.4,1127.9,0.4,3
33013HENN01,33,013,HENN01,1570,1075.6,67,1643.1,960.5,78,1,1002.8,1596.8,61,4
33013HILL01,33,013,HILL01,202.5,341.3,7.2,233.3,289,15.5,1.7,120.2,416.7,10.8,1
33013HOOK01,33,013,HOOK01,4116.5,4445.6,139.8,4497.7,3989.3,153.3,5.1,2174.8,6357.1,88.2,3.3
33013HOPK01,33,013,HOPK01,2684.4,1398.7,74.9,2813.2,1273.8,65.9,3,2023.2,2091.8,38,6
33013LOUD01,33,013,LOUD01,1515.2,2180.1,71.2,1769.9,1907.4,83.9,2,905.4,2801.7,61.6,5.1
33013NBRY01,33,013,NBRY01,900.5,722.5,27.9,939.3,683.5,29.9,0,540.4,1081.5,17,2
33013NFLD01,33,013,NFLD01,1135.2,1440.4,61.8,1339,1207.1,60.8,3,674.6,1919.8,50.3,3.1
33013NLON01,33,013,NLON01,2055.7,1046.1,41.5,2041.8,1026.4,38.5,1,1373.1,1689.2,21.7,1
33013PEMB01,33,013,PEMB01,2212.7,2074.5,79.7,2448.8,1772.9,121.8,1,1316.3,2974.7,52.4,9
33013PITF01,33,013,PITF01,824,1251.1,58.8,931.8,1110.2,63.1,1,464.9,1616.1,36.6,1
33013SALI01,33,013,SALI01,381.9,515.2,24.8,443.7,430.5,34.6,0,250.1,654.6,14,1
33013SUTT01,33,013,SUTT01,758.6,578.6,21.2,794,534,30.3,0,524.1,821.2,16.1,1
33013WARN01,33,013,WARN01,1043.2,838.9,33.8,1113.7,739.5,55.6,1,754.9,1137.1,26.8,5
33013WEBS01,33,013,WEBS01,548.9,668.8,24,633.8,566.9,26.1,1,357.8,860.9,10,1
33013WILM01,33,013,WILM01,574.9,360.9,6.9,597.6,327.4,19.7,0,385.6,548.3,9.9,0
330150RYE01,33,015,0RYE01,2780.6,1619.7,39,2788.6,1562.8,51,0,1756.7,2637.6,28,4
33015ATKI01,33,015,ATKI01,2157.5,2681,56.7,2347.7,2411.2,94.9,2.9,1230.2,3595.7,43.2,1
33015AUBU01,33,015,AUBU01,1616.4,2259.1,46,1776.2,2031.5,101.6,1,777.8,3050,47,0
33015BREN01,33,015,BREN01,1562.3,1444.7,39.4,1611.7,1352.9,59.2,1.1,925.7,2042.1,33.7,1
33015CAND01,33,015,CAND01,1016.6,1659.3,40.1,1125.1,1499.3,62.4,1,555.6,2091.2,46.7,4.8
33015CHSR01,33,015,CHSR01,1481.6,1974.6,53.5,1574.3,1806.3,86,0,828.4,2593.5,43.6,9
33015DANV01,33,015,DANV01,1077.1,1678.3,47.8,1184.6,1476.2,84.6,4,618.2,2096.3,55.7,2
33015DERR01,33,015,DERR01,2004.2,2295.3,65.1,2165.7,2042.4,100.2,2.7,1211.4,3053.8,57.3,3.9
33015DERR02,33,015,DERR02,2060.6,2360.7,66.9,2226.3,2101.1,102.9,2.8,1244.9,3140.9,58.9,4
33015DERR03,33,015,DERR03,2022,2316.7,65.7,2185.2,2061.2,101.2,2.7,1222.6,3081.4,57.8,3.9
33015DERR04,33,015,DERR04,2144.1,2456.4,69.7,2317.1,2185.5,107.3,2.9,1296.3,3267.3,61.3,4.2
33015DFLD01,33,015,DFLD01,1361.2,1788.1,62,1498.4,1586.8,102.1,1,808.6,2340.6,47,1
33015EKIN01,33,015,EKIN01,766,872.2,21.6,804.2,790.8,39.2,1,440.5,1171.3,18.7,2
33015EPPI01,33,015,EPPI01,2042.7,2307.9,78.9,2225.4,2076.1,97.9,2,1143.5,3101.6,53.9,2
33015EXET01,33,015,EXET01,7039.2,3464.8,152.2,7166.4,3234.4,203.5,2.8,4792.8,5672.1,111.1,1.4
33015FREM01,33,015,FREM01,1100.5,1563.2,50.7,1219,1392.1,68.8,1.9,607.1,2059.5,35.4,1
33015GRND01,33,015,GRND01,1709.7,1153.7,35.8,1775.5,1078,38.7,0.1,1001.9,1842.8,17.9,0
33015HAFA01,33,015,HAFA01,859.9,875.5,12.4,892.8,800.1,39.5,4,477.8,1224.5,15.4,1
33015HMST01,33,015,HMST01,2593.1,3425.4,87.5,2867.7,3076.1,110.4,0.1,1459.6,4525.4,57,2
33015HMTN01,33,015,HMTN01,6043.9,5122.5,137.6,6405.6,4571.3,204.4,7.9,3535.9,7542.2,137.6,2
33015KENS01,33,015,KENS01,806.5,727.6,26,830.5,675.5,33.1,1,520.8,1003.2,20,1
