GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOTH,G16USSRSZE,G16USSDVAN,G16USSGFLO,G16USSOTH,G16H01RHAR,G16H01DWER,G16H01LBEE,G16H01OTH,G16H02RMCD,G16H02DRUP,G16H02LKAS,G16H02OTH,G16H03RPLA,G16H03DSAR,G16H03GEZE,G16H03OTH,G16H04RMCD,G16H04DBRO,G16H04LKRA,G16H04GCLA,G16H04OTH,G16H05RARN,G16H05DHOY,G16H05LSUM,G16H05OTH,G16H06RHOE,G16H06DDEL,G16H06LHOW,G16H06GGLU,G16H06OTH,G16H07RVAU,G16H07DCUM,G16H07GHOE,G16H07OTH,G16H08RCOX,G16H08DRAS,G16H08LWUN,G16H08GWAL,G16H08OTH
2400513-007,24,005,13-007,487,918,24,18,4,411,959,57,0,0,0,0,0,372,927,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400513-008,24,005,13-008,962,462,43,9,19,872,572,46,2,0,0,0,0,750,630,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400513-009,24,005,13-009,1229,1375,69,38,33,1070,1541,89,5,0,0,0,0,0,0,0,0,996,1549,65,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400514-001,24,005,14-001,949.45,688.5,68.03,38.01,13.01,939.45,705.5,72.03,3,0,0,0,0,0,0,0,0,812.4,799.52,51.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400514-002,24,005,14-002,1047.55,1169.5,77.97,27.99,31.99,1054.55,1182.5,79.97,3,0,0,0,0,0,0,0,0,936.6,1233.48,65.97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400514-003,24,005,14-003,826.6,1163.73,72.73,31.45,33.42,870.83,1120.48,68.8,2.95,0,0,0,0,791.22,1091.98,101.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400514-004,24,005,14-004,143.4,184.27,15.27,5.55,3.58,144.17,184.52,13.2,0.05,0,0,0,0,125.78,198.02,15.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400514-005,24,005,14-005,118,357,11,7,3,121,340,18,3,0,0,0,0,102,330,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400514-006,24,005,14-006,1207,1070,93,44,16,1163,1165,89,0,0,0,0,0,0,0,0,0,1026,1246,66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400514-007,24,005,14-007,796,874,50,37,21,790,901,71,3,0,0,0,0,682,943,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400514-008,24,005,14-008,402.48,1788.98,25.21,33.9,17.39,369.44,1799.41,62.59,2.61,0,0,0,0,336.41,1729,73.89,6.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400514-009,24,005,14-009,688.56,2068.07,33.42,30.2,8.65,669.43,2034.08,62.93,2.25,0,0,0,0,562.19,2017.53,90.02,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400514-010,24,005,14-010,710.83,1004.32,46.8,14.13,20.56,686.74,1032.64,52.06,2.09,0,0,0,0,558.76,1092.2,75.41,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400514-011,24,005,14-011,608.14,950.63,31.57,16.77,15.39,564.39,996.87,42.42,5.06,0,0,0,0,481.64,1022.27,59.68,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400514-012,24,005,14-012,894,744,73,42,20,916,771,61,2,0,0,0,0,0,0,0,0,810,822,51,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400514-013,24,005,14-013,569,982,36,14,16,548,1003,47,0,0,0,0,0,501,1006,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400514-014,24,005,14-014,147,276,7,9,4,153,261,22,0,0,0,0,0,0,0,0,0,129,277,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-001,24,005,15-001,607.18,534.35,35.3,37.9,11.67,479.35,669.04,64.34,5.08,0,0,0,0,407.69,699.19,83.27,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-002,24,005,15-002,1264.31,704.78,59.96,27.45,13.36,1111.01,843.74,83.65,4.97,0,0,0,0,974.02,922.94,110.32,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-003,24,005,15-003,995,454,32,10,15,872,579,36,5,0,0,0,0,780,634,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-004,24,005,15-004,614,1250,43,23,19,548,1331,53,2,0,0,0,0,500,1278,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-005,24,005,15-005,1351.2,2025.81,94.41,47.2,26.55,1269.57,2133.98,107.19,2.95,0,0,0,0,1269.57,1970.74,133.74,10.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-006,24,005,15-006,1508.99,453.75,45.09,17.27,25.9,1433.2,548.72,45.09,0,0,0,0,0,1268.2,677.27,70.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-007,24,005,15-007,1073.37,1081.01,39.48,23.47,21.86,946.58,1195.76,89.9,1.98,0,0,0,0,885.21,1183.42,85.07,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-008,24,005,15-008,1247.64,823.2,42.03,27.02,21.02,1154.5,897.33,51.12,6,0,0,0,0,1114.44,870.33,85.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-009,24,005,15-009,640.28,275.1,21.31,6.78,6.78,587.97,331.28,28.09,1.94,0,0,0,0,539.54,356.46,38.75,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-010,24,005,15-010,957.37,993.64,55.86,16.29,11.08,881.88,1063.23,65.12,5.95,0,0,0,0,793.37,1075.04,92.99,8.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-011,24,005,15-011,1027,943,66,18,15,918,1078,61,3,0,0,0,0,861,1016,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-012,24,005,15-012,990,467,42,14,17,902,579,42,3,0,0,0,0,786,656,65,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-013,24,005,15-013,937.05,344.12,32.27,12.03,10.96,840.75,446.05,38.95,1.95,0,0,0,0,733.97,541.81,47.5,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-014,24,005,15-014,385.08,198.5,18.26,5.56,3.97,339.03,257.25,15.88,0,0,0,0,0,296.95,277.89,28.58,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-015,24,005,15-015,919.54,567.93,52.41,15.25,10.48,810.91,675.6,60.03,2.86,0,0,0,0,749.93,711.81,67.66,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-016,24,005,15-016,870.66,624.33,42.06,19.06,13.02,751.63,756.24,37.13,2.02,0,0,0,0,694.57,748.97,63.22,3.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-017,24,005,15-017,454.73,1426.75,16.28,18.89,12.34,414.86,1443.47,58.8,0.11,0,0,0,0,377.54,1398.59,62.27,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-018,24,005,15-018,776.94,565.66,32.26,12.27,9.19,710.37,621.47,44.52,2.3,0,0,0,0,646.64,658.34,52.95,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-019,24,005,15-019,1862.69,1140.11,78.53,33.86,18.52,1763.8,1240.2,84.38,2.67,0,0,0,0,1621.33,1296.56,128.36,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-020,24,005,15-020,1916.08,924.12,53.17,29.15,13.01,1657.39,1138.65,69.47,3.34,0,0,0,0,1487.66,1217.24,132.66,2.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-021,24,005,15-021,1723.91,590.28,25.86,17.11,14.19,1556.08,734.69,40.84,1.89,0,0,0,0,1434.91,775.52,78.74,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-022,24,005,15-022,2041.88,643.82,53.02,27.39,29.01,1794.35,884.27,87.19,2.16,0,0,0,0,1665.34,897.09,140.16,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-023,24,005,15-023,306.34,2002.67,26.94,29.94,6.98,291.37,1960.76,60.87,7.98,0,0,0,0,261.43,1836.03,100.78,7.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-024,24,005,15-024,211.77,224.42,16.35,2.81,1,219.58,210.45,18.2,0.07,0,0,0,0,190.65,228.88,19.4,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-025,24,005,15-025,1484.88,586.92,52.66,23.65,19.55,1412.79,667.55,56.5,8.16,0,0,0,0,1283.07,730.4,83.99,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400515-026,24,005,15-026,1173.85,299.74,37.07,16.45,20.43,1122.91,375.64,29.78,2.09,0,0,0,0,1055.83,387.24,59.09,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400901-001,24,009,01-001,963.7,950.91,52.82,12.23,24.42,969.22,914.37,64.03,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859.71,1055.79,60.18,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400901-002,24,009,01-002,843.09,929.47,71.35,15.96,24.41,803.66,892.85,83.56,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728.55,1006.45,61.03,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400901-003,24,009,01-003,812.35,460.05,60.96,14.18,19.14,737.92,508.96,63.8,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740.76,551.49,42.53,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400901-004,24,009,01-004,963.16,553.34,64.99,24.37,33.4,963.16,561.47,52.36,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905.39,649.93,57.77,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400901-005,24,009,01-005,1286,913,113,52,34,1291,909,147,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222,1036,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400901-006,24,009,01-006,1211.21,767.53,121.68,35.57,29.95,1229.93,750.69,129.17,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146.62,875.18,111.39,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400901-007,24,009,01-007,1090.34,824.53,117.17,20.11,34.97,1113.95,794.8,116.29,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.52,929.46,104.92,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400902-001,24,009,02-001,1109.22,798.74,47.91,10.54,21.06,1074.46,772.99,56.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987.41,910.93,52.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400902-002,24,009,02-002,1026.83,705.72,49.19,10.73,16.99,923.97,711.98,71.56,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872.98,840.78,43.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400902-003,24,009,02-003,657.24,344.52,38.28,9.42,16.49,630.74,373.97,32.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608.95,419.91,22.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400902-004,24,009,02-004,1052.17,848.65,76.95,30.34,23.86,1006.78,868.66,74.59,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982.03,943.02,51.21,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400902-005,24,009,02-005,1175.45,664.98,74.32,24.45,45.96,1171.54,698.23,70.41,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065.92,825.36,73.34,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400902-006,24,009,02-006,810.04,547.33,35.68,11.35,17.84,787.34,553.81,46.22,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733.01,646.25,27.57,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400902-007,24,009,02-007,754.45,377.55,45.54,11.22,17.82,733.99,401.32,46.86,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696.36,454.78,40.26,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400902-008,24,009,02-008,1175.89,722.25,67.14,28.77,18.35,1127.72,727.67,69.66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055.93,848.43,53.88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400903-001,24,009,03-001,896.97,718.72,70.91,11.5,21.08,814.55,760.89,82.41,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781.01,839.47,73.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400903-002,24,009,03-002,835.96,689.16,52.68,17.27,28.58,757.16,735.34,54.32,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731.14,785.37,52.67,8.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400903-003,24,009,03-003,1142.62,865.07,85.46,21.05,36.23,1133.51,866.24,73.37,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069.68,963.98,64.99,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400903-004,24,009,03-004,1256.58,727.49,108.44,24.42,32.25,1192.14,797.75,95.76,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,880.82,84.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400903-005,24,009,03-005,1479.67,1062.49,83.69,30.1,39.09,1444.38,1098.28,83.29,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350.29,1201.56,80.29,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400903-006,24,009,03-006,968.01,549.08,56.99,13.86,20.79,947.21,583.73,47.75,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872.52,659.97,56.22,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400903-007,24,009,03-007,1434.59,826.81,89.27,11.29,38.93,1441.66,829.01,64.42,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365.77,942.06,65.2,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400903-008,24,009,03-008,1388.97,1182.79,104.06,25.95,41.74,1373.72,1178.7,102.77,7.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1285.03,1277.25,108.33,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24009ZZZZZZ,24,009,ZZZZZZ,1410.56,937.5,99.8,24.94,36.98,1336.7,972.73,105,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270.97,1098.07,86.04,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401101-001,24,011,01-001,829.29,195.65,25.82,8.94,4.97,763.74,238.36,28.8,1.99,828.3,166.85,32.77,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401102-001,24,011,02-001,1910.66,627.1,87.85,24.35,34.95,1794.88,766,69.44,0.01,1948.31,586.27,109.74,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401103-001,24,011,03-001,1533.95,815.3,108.32,23.12,36.66,1488.24,881.38,74.99,0,1637.81,670.39,126.44,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401104-001,24,011,04-001,1464.95,579.32,66.06,26.95,25.05,1375.77,714.49,50.04,6.01,1522.99,511.27,83.03,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401105-001,24,011,05-001,1189,818,58,18,18,1127,898,50,0,1285,725,54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401106-001,24,011,06-001,611.29,277.08,30.25,1.04,15.04,612,284.83,20.8,0,640.59,242.01,31.27,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401107-001,24,011,07-001,1042.06,482.01,46.22,13.54,23.11,1002.37,551.43,26.6,0,1085.72,438.22,57.22,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401108-001,24,011,08-001,777,210,22,13,4,729,257,28,3,784,187,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401301-001,24,013,01-001,2235.28,766.89,143.03,41.55,48.36,2223.7,862.92,90.58,5.45,2323.14,694.01,159.37,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401301-002,24,013,01-002,1035.35,355.21,66.25,19.24,22.4,1029.99,399.69,41.96,2.52,1076.04,321.46,73.82,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401302-001,24,013,02-001,834.62,307.5,53.61,6.96,23.74,864.08,311.76,23.82,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824.47,270.95,29.75,28.83,0
2401302-002,24,013,02-002,1013.37,342.9,64.73,14.21,13.25,1029.31,355.39,47.46,0.03,1056.82,274.53,87.81,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401303-001,24,013,03-001,2040.13,528.6,108.51,34.15,27.23,1977.08,677.92,64.33,2,2097.46,495.31,128.55,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401304-001,24,013,04-001,2823.67,1168.62,200.76,45.95,67.92,2930.54,1165.62,121.86,5.99,3038.42,944.89,217.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401304-002,24,013,04-002,1197,445,80,24,30,1246,453,32,0,1285,349,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401304-003,24,013,04-003,2264,894.38,147.63,45.74,56.59,2317.59,954.52,95.41,1,2435.63,703.29,176.29,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,21.31,0.97,0.17,0,0,0,0,0
2401305-001,24,013,05-001,1418.31,1113.3,133.5,32.56,42.23,1511.39,1059.34,79.37,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,1.32,0.09,0,1446.03,936.47,101.35,69.44,4.04
2401305-002,24,013,05-002,2612.61,1615.15,240.1,59.81,116.43,2859.2,1573.96,111.6,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2755.67,1363.89,175.04,104.44,4.06
2401305-003,24,013,05-003,1364.06,798.41,108.92,31.37,48.61,1422.44,830.65,67.3,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363.82,699.45,107.12,78.34,0.1
2401305-004,24,013,05-004,3307.08,2210.42,305.7,66.97,150.96,3553.71,2225.98,165.61,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.72,49.61,2.53,0.88,3423.85,1832.38,170.72,182.1,4.74
2401305-005,24,013,05-005,896.33,639.91,103.48,22.07,38.81,993.73,636.11,41.09,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939.7,563.06,70,41.85,0
2401305-006,24,013,05-006,248,213,14,0,6,251,216,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,171,8,11,0
2401306-001,24,013,06-001,3080.5,878.01,173.02,49.72,76.56,3064.59,983.41,112.36,0,3189.88,778.58,186.94,7.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401306-002,24,013,06-002,2557.28,782.57,161.08,45.01,47.03,2657.37,803.53,82.06,0,2714.46,647.44,176.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401307-001,24,013,07-001,588.26,362.69,59.62,15.9,32.79,627.01,372.63,33.79,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.17,292.14,45.71,40.74,0
2401307-002,24,013,07-002,1359.74,519.31,112.38,27.1,46.21,1363.99,595.37,65.21,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311.83,481.86,86.29,55.26,1
2401307-003,24,013,07-003,891,699,92,29,52,913,762,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877,628,71,90,1
2401307-004,24,013,07-004,2206.67,1321.19,166.62,65.16,80.26,2311.69,1334.53,130.37,2,8.67,2.12,0.51,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2237.33,1122.69,106.1,168.09,1
2401307-005,24,013,07-005,354,294,22,7,17,375,297,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,246,7,17,1
2401307-006,24,013,07-006,923,523,78,20,34,973,559,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953,479,40,42,1
2401307-007,24,013,07-007,2120.41,1311.42,243.9,46.98,85.96,2221.35,1398.41,112.95,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2176.35,1125.52,168.93,142.94,6
2401307-008,24,013,07-008,873,295,62,10,19,871,325,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836,261,35,49,3
2401308-001,24,013,08-001,2222.46,759.48,147.42,33.59,55.05,2320.43,749.22,66.24,0,2352.15,607.4,162.35,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401308-002,24,013,08-002,1763.12,619.61,124.32,31.57,43.41,1826.26,633.42,75.97,0.99,1890.39,522.92,118.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401308-003,24,013,08-003,1446.17,596.85,108.62,25.91,37.87,1497.02,622.72,54.8,0,1576.66,467.33,111.62,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401309-001,24,013,09-001,2012,720,119,23,42,2019,774,77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,612,71,77,7
2401309-002,24,013,09-002,1022.54,365.76,50.83,16.94,22.92,1013.57,409.61,28.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993.64,346.83,28.9,34.88,1
2401310-001,24,013,10-001,618.46,160.96,10.27,13.06,6.15,607.31,172.28,20.16,0.01,621,138,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,1.82,0.11,0.19,0.02
2401311-001,24,013,11-001,1562,487.28,105.93,23.11,22.5,1562.35,577.42,43.58,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1516.74,455.41,71.63,71.6,0.01
2401312-001,24,013,12-001,563.66,235.19,46.64,7.94,9.92,548.77,276.87,19.85,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526.94,227.25,21.83,29.77,0
2401313-001,24,013,13-001,3662.13,2008.08,295.13,57.07,142.62,3900.19,2018.88,121.02,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,1.85,0.14,0.04,3932.15,1629.87,142.54,136.64,0.98
2401314-001,24,013,14-001,1530.49,750.85,99.07,21.79,35.54,1570.71,794.23,42.45,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519.41,673.49,73.28,65.33,3.06
