GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRHOG,G18GOVDJEA,G18GOVLQUI,G18GOVGSCH,G18GOVOWRI,G18COMRPHU,G18COMDFRA,G18COMOWRI,G18ATGRWOL,G18ATGDFRO,G18ATGOWRI,G18USSRCAM,G18USSDCAR,G18USSLVOH,G18USSISIM,G18USSOWRI
2400515-025,24,005,15-025,1578.72,358.05,9.77,15.35,0.16,805.53,1061.24,2.02,1158.13,750.17,2,988.85,799.91,18.04,115.7,0
2400515-026,24,005,15-026,1280.87,112.82,4.18,11.12,0,673.91,690.67,0.09,989.39,379.8,0,911.42,359.63,15.51,84.99,2
2400901-001,24,009,01-001,1262.17,467.63,11.3,8.44,0.94,710.85,983.36,0.01,856.19,865.29,0.93,784.01,878.46,15.96,64.6,0.93
2400901-002,24,009,01-002,951.06,490.08,14.08,11.27,0.94,546.41,860.93,0,671.28,774.56,0,605.56,788.64,18.78,51.64,0
2400901-003,24,009,01-003,805.97,226.84,5.67,4.96,0,515.34,486.99,1.42,593.32,416.1,0.71,552.91,431.7,7.8,41.11,0.71
2400901-004,24,009,01-004,1119.32,268.1,15.35,3.61,1.81,684.23,669.79,0.9,856.64,523.55,0.9,796.16,538.9,17.15,44.23,0.9
2400901-005,24,009,01-005,1310,522,18,17,3,857,942,7,999,836,3,915,821,37,80,6
2400901-006,24,009,01-006,1088.59,518.55,29.95,4.68,3.74,714.18,859.26,2.81,843.35,760.05,2.81,765.66,769.41,33.7,45.86,4.68
2400901-007,24,009,01-007,1198.76,406.58,20.98,6.99,0.87,708.24,869.13,2.62,885.74,729.23,0.87,807.92,752.83,18.36,56.83,0.87
2400902-001,24,009,02-001,1306.15,396.57,10.53,0.97,0.01,790,871.39,0.96,970.96,705.8,0,913.5,719.24,19.12,53.63,0
2400902-002,24,009,02-002,1106.43,368.51,7.16,4.47,1.79,666.36,734.34,1.79,814.84,613.59,0,763.86,634.16,8.94,47.41,0
2400902-003,24,009,02-003,770.91,132.51,5.89,1.77,0,457.01,416.96,1.77,570.67,313.31,0,532.39,331.57,7.07,26.5,0.59
2400902-004,24,009,02-004,1168.77,479.59,13.4,8.05,3.01,719.61,873.56,3.04,881.27,736.68,3.97,806.93,766.27,21.69,60.24,0.99
2400902-005,24,009,02-005,1392.54,341.29,14.67,0.98,0,862.52,839.05,0,1065.92,641.51,0,987.69,690.4,16.62,53.79,0
2400902-006,24,009,02-006,926.8,248.93,6.49,1.62,0,558.68,587.87,0,670.58,490.57,0,619.49,523.81,11.35,28.38,0
2400902-007,24,009,02-007,865.8,153.64,3.3,1.98,1.32,530.16,456.97,1.32,653.47,356.74,0.66,605.33,371.9,11.21,35.61,0
2400902-008,24,009,02-008,1405.21,384.87,12.48,2.14,0,866.47,858.19,1.14,1041.8,718.69,0,958.66,752.19,10.58,67.17,4.05
2400903-001,24,009,03-001,1000.47,361.28,10.54,11.5,0,588.4,750.35,0.96,720.64,640.14,0,637.27,656.44,21.08,66.12,0
2400903-002,24,009,03-002,975.3,382.38,12.06,2.55,0,565.74,750.85,0.85,671.02,673.59,0.85,615.75,694.59,17.17,39.7,0.85
2400903-003,24,009,03-003,1491.76,436.06,14.17,1.29,0,889.12,986.41,0,1048.38,856.8,2,957.13,891.81,24.05,51.14,0
2400903-004,24,009,03-004,1325.14,333.49,14.65,0.99,0,776.86,838.78,2.93,961.5,669.8,0.98,874.51,690.36,26.39,60.57,0
2400903-005,24,009,03-005,1719.25,543.78,7.5,5.9,0.6,1027.8,1177.56,1.6,1224.81,996.03,5.3,1136.95,1039.92,16.09,71.17,0
2400903-006,24,009,03-006,1130.53,237.92,10.77,3.85,0,695.41,636.07,3.85,847.14,504.38,0,789.37,535.94,16.17,35.44,0
2400903-007,24,009,03-007,1647.02,356.1,10,8.36,6,1005.59,947.11,1.36,1220.68,765.87,1,1129.32,807.8,21.5,54.29,3
2400903-008,24,009,03-008,1586.57,581.38,13.04,7.82,0,887.75,1227.48,1.05,1060.97,1092.66,0.02,951.59,1149.7,32.82,52.19,1.95
24009ZZZZZZ,24,009,ZZZZZZ,1528.05,474.22,16.61,7.34,0.92,927.99,1019.94,2.01,1119.2,858.94,0.96,1032.45,889.23,20.94,68.13,1.24
2401101-001,24,011,01-001,726.74,92.3,7.77,0,0,428.47,360.46,1.94,604.33,198.2,0.97,547.97,219.58,6.8,33.03,0
2401102-001,24,011,02-001,1918.99,268.5,14.98,3.72,0,1012.79,1067.62,1.04,1473.77,628.28,1.01,1323.97,707.33,14.48,74.77,1.76
2401103-001,24,011,03-001,1602.72,414.1,13.26,6.04,2.03,798.12,1176.62,0.01,1158.93,824.16,2,1025.4,873.7,17.22,95.08,2.99
2401104-001,24,011,04-001,1587.64,310.79,9.78,9.21,2.23,693.51,1172.49,0.12,1231.6,626.67,0,1083.36,705.86,25.6,72.85,0.24
2401105-001,24,011,05-001,1185.27,366.87,7.04,3.04,0,544.15,986.25,0,869.75,682.74,0,776.05,744.08,13.08,34.48,0
2401106-001,24,011,06-001,713.72,107.85,10.55,1.95,1.9,346.48,455.71,0,544.24,269.45,0.01,493.73,276.62,9.61,48.14,0.04
2401107-001,24,011,07-001,1081.29,249.38,11.25,4.26,0.03,549.06,745.61,0.01,835.17,474.2,0.01,741.25,517.96,8.72,51.13,4.2
2401108-001,24,011,08-001,774,107,9,0,0,387,464,0,630,230,1,551,265,11,45,0
2401301-001,24,013,01-001,1919.73,269.3,17.82,11.88,0.99,1089.07,1047.48,0.99,1478.16,708.88,3.96,1339.55,669.28,25.74,173.26,1.98
2401301-002,24,013,01-002,1358.31,231.83,6.1,1.08,0.01,824.89,704.16,1,1068.52,484.78,4.01,952.08,509.38,15.11,92.8,0.01
2401302-001,24,013,02-001,844.25,123.86,3.99,2.96,1.97,466.71,475.59,0,667.65,291.53,0,601.32,305.32,3,66.36,0
2401302-002,24,013,02-002,1047.97,152.87,6.08,6.04,0,576.04,602.36,3.01,846.32,332.34,1.03,765.37,346.34,10.15,78.94,0.01
2401303-001,24,013,03-001,2014.07,241.25,19.06,11.03,2.01,1280.43,929.68,3.01,1703.46,539.71,1,1539.67,538.85,37.09,142.67,0
2401304-001,24,013,04-001,3073.37,544.36,25.97,16.98,1,1715.98,1790.89,4,2377.2,1199.58,0,2073.55,1219.56,49.94,270.68,4
2401304-002,24,013,04-002,1324,189,9,1,3,793,683,3,1039,466,1,934,460,24,98,0
2401304-003,24,013,04-003,2457.3,391.01,21.78,11.89,2.98,1427.46,1391.76,2.99,1933.98,907.46,0.01,1732.56,919.03,35.89,185.48,0.03
2401305-001,24,013,05-001,1649.4,496.69,17.22,4.12,6.02,865.42,1253.71,1.01,1182.19,956.77,1,1018.29,983.78,32.49,133.66,0.03
2401305-002,24,013,05-002,3105.13,675.47,29.87,17.8,0.07,1672.1,2027.48,1.25,2243.1,1515.9,0.24,1905.36,1557.74,58.1,288.36,4.04
2401305-003,24,013,05-003,1564.91,305.43,14.1,11.89,1.03,851.34,990.53,0.02,1154.02,704.45,0,1003.65,723.76,27.3,134.41,2.98
2401305-004,24,013,05-004,3897.33,926.9,26.93,13.81,2.85,2096.96,2613.95,1.15,2790.64,2020.39,0.18,2443.91,2017.84,57.01,324.31,4
2401305-005,24,013,05-005,1085.03,305.88,11.41,2.28,0,560.02,795.13,0.76,745.67,630.78,0.76,657.41,654.37,20.54,67.72,0
2401305-006,24,013,05-006,317,102,0,3,0,142,272,0,216,209,0,189,209,1,28,0
2401306-001,24,013,06-001,3058.62,422.6,21.88,8.95,3.98,1830.6,1579.03,2.98,2515.71,913.81,0,2249.22,961.54,31.82,225.72,0
2401306-002,24,013,06-002,2691.5,331.28,32.02,6.01,0,1493.79,1431.97,3,2138.15,844.63,1,1944.03,843.61,36.02,200.14,0
2401307-001,24,013,07-001,736.32,201.72,8.94,5.96,0,411.38,506.78,0,525.66,407.41,0.99,458.09,407.41,10.93,69.56,0
2401307-002,24,013,07-002,1490.68,294.28,16.06,5.04,1,828.62,903.22,1,1148.34,617.59,1.01,1023.91,615.59,22.07,112.44,0
2401307-003,24,013,07-003,1041,356,12,5,3,552,801,1,739,650,0,662,624,24,87,0
2401307-004,24,013,07-004,2511.79,655.54,30.08,27.04,1.01,1377.79,1728.31,0.01,1869.94,1293.24,1,1641.07,1290.39,51.12,203.73,2
2401307-005,24,013,07-005,546,99,6,1,0,205,439,0,324,313,0,275,304,4,82,0
2401307-006,24,013,07-006,1038,247,3,3,0,532,722,3,787,479,3,673,510,13,89,0
2401307-007,24,013,07-007,2416.17,641.7,38.98,19.99,0,1331.54,1664.35,6,1806.39,1241.47,4,1567.49,1262.46,59.98,195.93,3
2401307-008,24,013,07-008,1003,153,9,8,0,599,533,3,794,356,1,690,346,17,104,2
2401308-001,24,013,08-001,2392.27,332.16,9.33,0,0.93,1370.61,1267.05,0.93,1909.9,763.21,0,1704.63,792.14,37.32,170.74,2.8
2401308-002,24,013,08-002,1815.41,272.31,16.77,3.95,2.96,1028.08,1027.09,5.92,1445.42,629.47,1.97,1267.83,631.45,34.53,167.73,0
2401308-003,24,013,08-003,1513.01,227.22,12.95,3.98,3.98,801.46,897.89,1,1122.43,590.88,0,1002.81,587.93,29.89,130.53,0
2401309-001,24,013,09-001,1875,330,10,12,2,1193,980,0,1539,669,0,1388,682,17,135,3
2401309-002,24,013,09-002,959.75,132.55,4.98,5.98,0,598.97,469.41,0,758.43,321.91,0,684.68,308.95,10.96,88.7,0
2401310-001,24,013,10-001,591.7,63.8,3.09,0.01,0,340.37,288.99,0.01,491.52,145.99,0,448.06,161.13,5.14,26.19,0
2401311-001,24,013,11-001,1444.21,201.46,12.08,8.05,1.03,790.1,824.03,0,1102.71,518.69,0,988.52,513,27.11,110.14,1
2401312-001,24,013,12-001,533.88,78.4,5.95,0,0,294.73,294.73,0,393.96,210.38,0,360.22,208.39,4.96,37.71,0
2401313-001,24,013,13-001,4032.15,895.28,18.69,8.86,0.99,2424.19,2358.58,3.93,3052.13,1832.95,1.97,2756.96,1850.69,50.18,279.37,2.96
2401314-001,24,013,14-001,1617.91,318.54,14.39,3.26,0,897.15,1003.27,1.02,1195.75,734.44,1,1081.12,720.97,25.77,119.97,0.06
2401314-002,24,013,14-002,2806.96,469.32,31.02,6.01,2,1639.27,1583.96,4,2223.58,1057.67,3,1964.45,1036.68,44.04,255.12,4
2401314-003,24,013,14-003,407.04,66.68,4.98,2.99,0,264.73,200.04,0,328.42,140.33,0,300.56,141.32,7.96,25.88,0
2401501-001,24,015,01-001,1610.05,371.74,18.14,4,0.01,996.13,967.42,3.96,1237.69,737.3,1,1130.83,745.82,23.04,88.52,2
2401502-001,24,015,02-001,823.66,208.23,17.65,0.95,0.93,562.41,457.41,0,655.43,388.53,0,601.53,417.31,14.86,26.98,1.86
2401502-002,24,015,02-002,603.91,169.71,6.44,8.83,0.8,416.74,359.28,0,502.67,279.78,0,469.7,285.41,6.44,27.3,0
2401503-001,24,015,03-001,1057.07,732.75,25.08,5.13,0,664.43,1102.47,2,808.93,984.08,2,754.8,995.69,23.13,32.36,2
2401503-002,24,015,03-002,571.28,159.93,6.67,5.48,0.04,415.05,307.4,0.07,470.55,260.59,0.04,425.25,284.26,9.22,21.18,0
2401503-003,24,015,03-003,893.11,430.05,16.82,7.88,1.97,575.04,743.15,2.96,703.81,633.25,2.96,626.74,646.06,22.7,38.6,2.96
2401503-004,24,015,03-004,148.47,28.01,0.98,0.01,0,115.43,61.04,0,122.38,55.06,0,119.39,56.02,0.03,1.05,0
2401503-005,24,015,03-005,225.68,164.66,3.82,4.74,0,150.4,241.8,0,174.25,222.72,0,167.55,209.48,5.71,14.24,0
2401503-006,24,015,03-006,897.58,184.37,9.7,11.64,0,593.86,449.27,0.97,722.91,356.12,0,650.14,388.14,21.35,34.93,0
2401503-007,24,015,03-007,509.52,393.36,9.73,3.01,0.96,304.34,583.16,0.96,370.46,532.58,0.96,342.35,525.52,14.6,28.3,0
2401504-001,24,015,04-001,1641.91,628.23,21.8,11.89,0,1074.13,1155.38,0,1298.07,970.09,0,1235.65,988.91,22.79,64.41,0
2401504-002,24,015,04-002,535.09,501.77,8.2,10.11,0,354.87,667.62,0,411.93,630.91,0,361.35,646.09,8.21,30.59,2
2401505-001,24,015,05-001,819.93,177.43,10.89,6.9,0.02,510.66,481.71,0.99,645.85,354.5,0,585.62,360.49,13.85,48.36,0
2401505-002,24,015,05-002,1040.66,243.09,16.02,8.39,0.87,670.81,618.57,0.17,815.75,487.63,0.11,723.84,506.13,21.06,64.78,0.87
2401505-003,24,015,05-003,1819.7,353.78,23.24,6.89,0,1168.95,957.19,2.58,1440.96,722.2,1.72,1336.8,754.05,25.82,72.31,0.86
2401505-004,24,015,05-004,581.9,250.07,12.93,3.05,3.93,342.59,474.6,0.99,412.36,425.56,0,374.11,442.35,13.96,26.27,0
2401505-005,24,015,05-005,1622.41,372.56,22.76,10.5,0.12,1119.29,840.93,2.83,1350.46,641.59,1.89,1226.64,676.83,20.64,88.33,0.13
2401505-006,24,015,05-006,235.32,76.25,3.77,0,0,138.37,170.38,0,175.08,142.14,0,163.79,142.14,1.88,9.41,0
2401506-001,24,015,06-001,1802.96,257.28,22.94,6.98,0,1197.65,821.7,1,1526.73,533.51,0,1399.09,546.47,32.91,91.74,1
2401506-002,24,015,06-002,1668.72,201.49,16.96,3.1,2.92,1098.96,740.61,1.03,1388.26,464.51,0.04,1273.79,488.75,18.86,87.27,0.98
2401506-003,24,015,06-003,432.88,36.23,0.95,0,0,264.12,185.93,0,360.42,102.02,0,323.23,114.42,4.77,21.93,0
2401507-001,24,015,07-001,1412.73,212.72,18.17,6.31,0.06,910.87,697.92,2.7,1181.53,448.04,1.79,1072.23,490.45,14.64,66.83,0.02
2401507-002,24,015,07-002,1549.37,459.76,9.11,8.16,0.17,814.31,1165,1.01,1086.08,926.56,0.18,967.6,981.43,8.13,82.03,0.99
2401507-003,24,015,07-003,317.27,102.03,4.03,0.03,0,199.02,217.22,0.01,249.75,171.54,0.01,226.48,177.69,6.98,18.12,0
2401507-004,24,015,07-004,158.56,23.95,0,0.83,0.83,91.67,86.71,0,130.48,49.55,0.83,119.74,53.68,0,9.08,0
2401508-001,24,015,08-001,1381.32,171.3,14.66,6.34,0.94,965.26,560.79,0.91,1188.23,356.97,0.9,1092.97,376.18,16.51,71.46,0.91
2401509-001,24,015,09-001,1122.38,152.36,10.12,3.06,0,778.45,460.31,0.03,954.86,306,0.01,898.24,326.03,16.15,22.46,2.06
2401509-002,24,015,09-002,751.45,120.2,10.9,4.93,0,487.6,385.09,2.96,615.66,266.51,0.99,559.57,270.08,13.06,41.53,4.93
24015ZZZZZZ,24,015,ZZZZZZ,647.79,153.17,8.33,4.29,0.38,417.09,374.15,0.62,513.62,289.08,0.37,473.64,300.1,8.78,28.38,0.48
2401701-001,24,017,01-001,927.27,610.95,4.14,5.14,0.04,488.76,990.77,0.05,597.02,915.92,0.04,547.32,914.86,13.29,39.77,0.02
2401701-002,24,017,01-002,1176.33,297.77,7.86,4.91,1.97,658.43,732.14,2.95,851.05,567.04,2.95,798.96,589.64,16.71,36.36,1.97
2401701-003,24,017,01-003,1307.26,538.67,9.62,6.49,0.03,763.32,1001.42,0.7,880.21,917.38,0.7,811.67,943.7,20.03,61.56,0.03
2401701-004,24,017,01-004,747.39,224.44,5.44,1.57,0,442.79,496.31,2.32,535.81,401.88,2.32,503.9,412.79,10.11,25.71,0
2401702-001,24,017,02-001,749.78,150.55,2.99,7.98,0,432.72,421.75,1.99,529.43,336,1.99,517.46,342.98,2.99,24.93,1.99
2401703-001,24,017,03-001,922.14,406.75,5.01,3.01,2,511.6,758.26,2,667.75,646.16,0,631.71,653.18,12.01,28.04,2
2401704-001,24,017,04-001,1307.44,179.99,1.1,3.07,0.05,758.8,623.46,3.03,1018.11,391.59,0.01,970.86,425.17,3.33,44.02,0
2401704-002,24,017,04-002,893.54,120.11,2.93,1.95,2.93,530.26,420.89,0,689.44,275.38,0,652.33,297.85,8.79,29.3,0
2401705-001,24,017,05-001,1262.1,299.91,3.57,2.67,0,712.84,769.13,2.67,899.84,596.35,0.89,855.32,609.77,13.34,38.28,0
2401706-001,24,017,06-001,956,391,4,5,1,520,776,3,662,652,1,618,679,17,31,0
2401706-002,24,017,06-002,1054.23,1046.11,6.36,10.04,2.97,551.51,1522.98,2.09,649.59,1461.85,1.06,621.27,1446.11,14.66,39.69,1.97
2401706-003,24,017,06-003,469.37,1141.46,5.05,8.01,0.02,171.06,1438.87,0.05,206.01,1438.57,1.02,174.8,1447.21,9.2,19.34,0
2401706-004,24,017,06-004,578,1344.82,16.55,7.79,0,235.92,1687.88,0.98,237.97,1724.79,0.01,211.62,1685.9,22.41,36.04,0
2401706-005,24,017,06-005,488.57,1547.99,8.72,0,0,148.32,1899.86,0.97,169.65,1929.91,0,154.14,1893.07,7.76,30.05,0
2401706-006,24,017,06-006,852.36,935.42,12.85,2.97,0.99,413.32,1358.63,0,502.32,1321.06,0,454.85,1318.09,17.8,38.56,0
2401706-007,24,017,06-007,514,1023,14,6,0,222,1324,0,243,1336,1,220,1327,6,30,3
2401706-008,24,017,06-008,405,707,9,2,0,165,944,1,187,937,1,172,931,10,19,0
2401706-009,24,017,06-009,386.29,901.66,8.61,7.65,0.96,138.64,1154.09,0,163.5,1156,0,144.38,1150.27,5.74,18.17,1.91
2401706-010,24,017,06-010,667.03,1442.3,2.93,1.95,0.98,235.99,1877.23,1.95,240.87,1905.51,0.98,226.24,1892.84,9.75,17.55,0
2401706-011,24,017,06-011,507,829,3,5,0,186,1156,0,221,1132,0,198,1128,10,24,0
2401706-012,24,017,06-012,363,497,8,6,1,139,728,2,146,744,0,143,732,4,17,0
2401706-013,24,017,06-013,803.93,1356.88,8,5,0,349.97,1800.84,5,417.96,1779.85,1,386.97,1753.85,14,42,3
2401706-014,24,017,06-014,932,1361,8,10,2,455,1822,3,489,1853,0,451,1841,18,36,2
2401706-015,24,017,06-015,363.45,995.97,3,2,4,134.16,1229.26,2,155.16,1231.28,4,137.15,1216.27,4.01,19.01,0
2401706-016,24,017,06-016,427.4,583.95,6.72,2.88,0,187.29,824.07,2.88,220.9,809.66,1.92,193.05,814.46,15.37,17.29,0
2401706-017,24,017,06-017,380,577,1,5,3,181,782,2,213,763,2,198,763,9,9,2
2401706-018,24,017,06-018,525.14,1589.76,12.4,0.35,1.05,164.58,1958.53,0,159.76,1999.59,3,138.88,1986.32,16.27,19.85,2.09
2401706-019,24,017,06-019,656,919,3,10,1,291,1268,2,351,1237,0,329,1242,9,21,2
2401706-020,24,017,06-020,405.97,474.87,1.43,5.2,1,180.11,692.76,1.03,220.16,668.72,0,190.48,673.71,8.58,15.93,2
2401706-021,24,017,06-021,372.16,554.27,3.02,2.04,0,164.79,761.64,0,194.95,738.64,0,162.81,751.68,5.04,14.09,2
2401706-022,24,017,06-022,336,954,6,3,0,119,1183,0,138,1182,1,123,1167,8,22,3
2401707-001,24,017,07-001,500.28,181.33,4.08,5.06,0.02,284.08,377.4,0.01,346.78,333.97,0.02,307.55,360.98,0.1,25.25,0.01
2401707-002,24,017,07-002,647.79,1004.92,7.94,4.96,0.99,286.69,1364.03,0,335.3,1346.18,0.99,305.54,1333.28,15.87,35.71,0
2401707-003,24,017,07-003,793,1091,8,6,3,359,1534,2,428,1487,0,391,1495,14,28,0
2401707-004,24,017,07-004,452.73,921.55,3.5,2.1,2.1,199.42,1160.16,1.4,230.21,1162.25,0.7,210.62,1154.56,9.1,16.79,2.1
2401708-001,24,017,08-001,1528,589,5,2,0,854,1184,3,1085,1011,0,1010,1019,13,63,3
2401708-002,24,017,08-002,814,565,5,3,0,438,900,3,512,859,1,470,869,8,45,0
2401708-003,24,017,08-003,579,555,6,2,0,292,837,0,336,804,1,315,790,17,30,0
2401708-004,24,017,08-004,1086.47,1097.09,9.28,6,0,517.69,1626.24,0.03,627.36,1565.2,4,567.87,1579.03,17.25,52.95,0
2401708-005,24,017,08-005,208,67,3,0,0,127,140,1,149,120,0,140,123,0,11,0
2401709-001,24,017,09-001,930,578,7,2,0,522,950,5,632,865,3,605,877,6,33,0
2401709-002,24,017,09-002,1150.73,369.84,6.87,2.94,0,709.28,769.12,1.96,851.52,654.34,0,804.43,668.07,3.92,36.3,1.96
2401710-001,24,017,10-001,953.45,630.7,11.84,10.86,2.96,498.44,1056.1,2.96,623.79,968.25,3.95,593.19,982.07,9.87,29.61,1.97
24017ZZZZZZ,24,017,ZZZZZZ,361.27,441.16,2.1,1.37,0.95,179.64,606.4,0.94,217.4,584.99,0.45,203.03,583.54,5.69,12.4,0.93
2401901-001,24,019,01-001,681.95,96.02,1.96,1.96,0,367.43,372.33,0,552.61,192.04,0,516.36,209.68,3.92,24.5,0
2401901-002,24,019,01-002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401902-001,24,019,02-001,808.15,68.2,3,0,0,382.06,447.69,2.09,628.67,198.12,0,576.64,246.02,6.24,20.2,0
2401902-002,24,019,02-002,71,50,2,0,0,32,97,0,48,81,0,36,91,0,7,0
2401902-003,24,019,02-003,75.45,4.72,0,0,0,29.24,46.21,0,66.02,8.49,0,57.53,16.98,1.89,1.89,0
2401902-004,24,019,02-004,123.4,20.09,0,0,0,50.7,86.1,1.91,103.31,35.39,0,91.84,44,2.87,1.91,0
2401903-001,24,019,03-001,96.23,15.47,0,0,0,37.81,73.89,0,70.46,39.52,0,53.27,52.13,0,1.72,0
2401903-002,24,019,03-002,141,82,0,0,0,55,163,0,98,115,0,83,136,0,3,0
2401904-001,24,019,04-001,120.78,22.22,0.18,0,0.18,50.72,84.16,0,94.72,39.97,0,77.77,51.06,1.99,8.74,0
2401905-001,24,019,05-001,137.18,14.3,3,0,0,40.91,110.52,0.02,105.6,31.7,0,89.43,52.93,1,2.07,1
2401906-001,24,019,06-001,231.17,17.69,0,0,0,98.03,136.72,0.04,164.79,65.7,1,149.33,78.31,0.01,10.16,0
2401907-001,24,019,07-001,232.13,86.83,0.86,1.72,0,88.55,225.25,0,172.81,141.86,0,148.73,159.91,0.86,6.88,0.86
2401907-002,24,019,07-002,300.08,904.07,7,2,2,73.41,1131.72,0.01,127.8,1130.32,1,101.73,1127.37,6,15.03,1
2401907-003,24,019,07-003,324.45,48.76,1.41,0.05,0.05,121.98,247.87,2.81,235.8,131.09,0,217.3,144.75,1.06,10.8,0.94
2401907-004,24,019,07-004,138.01,119,0,3,0,40,214.01,0,87.01,173,0,68.01,185,2,8,0
2401907-005,24,019,07-005,47,52,1,0,0,12,90,0,27,79,0,19,81,3,3,0
2401907-006,24,019,07-006,1030.02,243.77,17.09,8.11,0,351.99,939.2,0,724.14,559.26,0,610.59,639.89,18.74,40.89,0.14
2401907-007,24,019,07-007,16.27,34.05,0.38,0,0,3.41,47.68,0,7.19,46.16,0,7.19,45.41,0,0.76,0
2401907-008,24,019,07-008,22,4,0,0,0,8,20,0,15,11,0,12,12,2,0,0
2401907-009,24,019,07-009,334,192,4,5,0,123,405,0,220,308,3,172,333,7,27,0
2401907-010,24,019,07-010,55.98,78.97,0,2,0,24.99,108.96,0,36.99,100.96,0,30.99,104.96,0,0,2
2401907-011,24,019,07-011,14,3,0,0,0,4,14,0,9,6,0,9,5,0,2,0
2401908-001,24,019,08-001,467.8,74.81,2.99,0,0,183.53,356.09,0,365.06,153.61,0,311.2,191.51,6.98,32.92,0
2401909-001,24,019,09-001,354.91,38.29,2.07,0,0.01,116.69,273.21,0.18,258.76,114.85,0,223.56,137.77,3.06,25.67,0.06
2401910-001,24,019,10-001,103.43,13.16,0,0,0,40.42,74.29,0.94,75.23,33.84,0,66.76,46.07,0,2.82,0
2401911-001,24,019,11-001,41.85,4.36,0,0,0,21.29,24.9,0,37.3,8.62,0,33.16,9.7,0,0.18,0
2401912-001,24,019,12-001,155,40,1,2,0,84,108,0,123,75,0,113,73,1,8,0
2401912-002,24,019,12-002,107.74,71.53,0.88,1.77,0,45.92,136,0,68.88,116.57,0,60.94,113.04,0.88,6.18,0
2401913-001,24,019,13-001,162.35,20.42,0.41,0.41,0,58.18,126.4,0,134.69,39.87,0,127.83,39.56,0.41,8.71,0
2401913-002,24,019,13-002,32.83,20.52,0.59,0.59,0,15.24,39.28,0,25.79,29.9,0,21.69,32.24,0.59,1.17,0
2401914-001,24,019,14-001,568.72,60.02,3.94,4.92,1.97,248.94,363.08,0,441.79,162.35,0,394.56,200.73,3.94,22.63,0
2401914-002,24,019,14-002,41.28,9.98,0.06,0.08,0.03,12.06,41.92,0,28.21,22.65,0,22.44,24.27,0.06,5.37,0
2401914-003,24,019,14-003,351,23,0,0,0,131,232,0,267,94,0,237,116,1,12,0
2401914-004,24,019,14-004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2401915-001,24,019,15-001,786.04,136.46,13.27,1.9,1.77,361.63,542.42,0.88,605.16,300.92,0,525.75,362.69,12.47,30.55,1.76
2401915-002,24,019,15-002,52.78,6.11,0,0,0,27.42,28.43,0,46.63,9.22,0,37.59,15.24,0,2.03,0
2401915-003,24,019,15-003,379.58,282.22,1.06,3.12,0,133.95,523.09,0,212.36,467.83,0,169.95,496.41,4.05,13.42,0
2401916-001,24,019,16-001,250.88,23,1.77,0,1.76,118.34,144.08,0,199.64,61,0,169.61,82.19,0.01,17.67,0
2401917-001,24,019,17-001,101,17,0,0,0,36,76,0,78,34,0,67,46,0,2,0
2401917-002,24,019,17-002,19.54,4.41,0,0,0,5,19.95,0,13.86,12.04,0,9.4,15.37,0,2.05,0
2401918-001,24,019,18-001,26.06,6.73,0,0,0,16.82,15.13,0,20.18,9.25,0,17.66,11.77,0,1.68,0
2402101-001,24,021,01-001,1519.04,503.66,7.97,13.93,0.99,922.14,1045.84,2.98,1076.33,927.47,2.99,986.78,951.35,17.92,84.56,2.98
2402101-002,24,021,01-002,1265.43,1078.51,26.99,10,1,705.68,1575.28,2,837.62,1499.32,4,721.67,1535.3,35.98,77.96,2
2402101-003,24,021,01-003,871.52,403.5,8.99,7.04,1,542.06,719.73,3,616.5,664.38,3,573.25,662.53,18.99,36.27,3
2402102-001,24,021,02-001,721.01,1098.68,20.45,20.67,1,378.72,1447.66,2.14,434.62,1419.9,4.15,376.9,1402.95,28.06,53.85,5.24
2402102-002,24,021,02-002,237.87,257.14,7.41,2.96,0,108.19,386.82,0,140.06,362.37,2.22,123.01,362.37,7.41,14.82,1.48
2402102-003,24,021,02-003,966.7,958.08,23.67,19.18,2.94,505.29,1418.35,4.99,579.45,1368.7,5.15,497.06,1381.52,37.09,63.53,5.14
2402102-004,24,021,02-004,1111.28,1382.48,31.61,10.34,0.06,630.97,1820.51,0.06,697,1813.2,0.98,634.1,1793.9,36.45,54.2,0
2402102-005,24,021,02-005,1221.57,1141.44,15.64,23.45,2.93,524.79,1820.63,7.82,696.78,1685.77,4.89,597.1,1692.61,24.43,83.07,5.86
2402102-006,24,021,02-006,1072.07,706.65,5.05,9.03,0,558.14,1203.45,5.01,681.24,1102.5,1,613.1,1085.45,19.09,70.16,2.01
2402102-007,24,021,02-007,1078.3,976.21,18.29,6.8,0,527.9,1488.12,1.92,669.98,1379.47,2.87,589.93,1402.04,28.74,54.28,1.92
2402102-008,24,021,02-008,990.16,912.49,14.17,3.02,3.02,550.67,1336.34,3.1,616.18,1313.39,0,549.14,1321.96,17.21,45.68,3.06
2402102-010,24,021,02-010,1300.88,960.35,13.46,13.61,1.08,643.09,1607.56,1.19,789.99,1480.85,0.12,727.92,1475.31,33.75,65.3,1.13
2402102-011,24,021,02-011,599.53,638.49,21.01,9.01,0,258.23,979.78,1,338.3,913.73,1,297.26,916.73,26.01,22.04,0
