GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDCAR,G18USSRARL,G18USSGTHE,G18USSLFRO,G18HALDROC,G18HALRWAL,G18ATGDJEN,G18ATGRPEP,G18TREDDAV,G18TRERSIM,G18TREGCHA,G18AUDDMCG,G18AUDRSPA
10003001-12,10,003,001-12,779,343,13,9,820,300,804,326,615,488,22,693,424
10003001-13,10,003,001-13,581.5,274.63,14.09,13.13,600.69,266.51,597.54,269.71,511.07,341.05,20.13,537.3,329.93
10003001-15,10,003,001-15,657.65,380.85,19.28,13.13,681.26,368.58,647.37,403.76,576.48,451.46,29.74,625.84,424.52
10003001-16,10,003,001-16,611.53,201.06,11.7,8.13,607.65,204.75,588.85,226.4,555.19,237.19,24.93,589.57,221.55
10003001-17,10,003,001-17,366.26,144.73,3.59,7.4,371.41,139.39,364.17,143.68,346.24,149.82,17.19,352.47,159.44
10003001-18,10,003,001-18,613.65,176.72,11.35,8.11,623.38,171.04,610.41,185.64,566.63,217.25,11.35,597.44,199.42
10003001-19,10,003,001-19,577.21,283.58,14.36,16.32,597.79,280.32,595.44,270.69,499.82,369.58,14.67,556.58,320.49
10003001-21,10,003,001-21,353,170,2,3,349,165,337,178,271,246,5,290,229
10003001-22,10,003,001-22,743.36,458.94,17.86,11.23,744.46,464.71,749.35,457.44,522.04,673.9,20.73,632.04,569.89
10003001-23,10,003,001-23,129,41,10,5,143,39,135,41,125,47,8,129,52
10003001-24,10,003,001-24,583,278,15,17,604,268,586,289,509,345,28,542,329
10003001-25,10,003,001-25,583.82,118.97,23.26,14.66,612.91,121.94,589.57,148.59,500.45,188.52,39.53,536.51,189.44
10003001-26,10,003,001-26,559,269,16,9,570,259,569,273,498,313,24,536,302
10003001-27,10,003,001-27,1028,367,22,19,1049,357,1004,398,917,478,28,966,446
10003002-01,10,003,002-01,938,36,22,5,980,28,836,160,909,51,18,918,51
10003002-02,10,003,002-02,200.15,5.25,3.28,1.31,207.36,5.25,180.46,28.22,196.86,7.87,0.66,198.83,7.87
10003002-03,10,003,002-03,708.23,145.81,18.42,9.8,726.7,138.06,701.54,170.02,610.18,234.24,24.26,632.62,225.47
10003002-04,10,003,002-04,736.25,380.91,5.4,6.24,759.01,333.49,739.19,370.47,479,627.96,11.52,585.73,518.75
10003002-05,10,003,002-05,384.24,116.65,8.82,3.92,390.13,117.63,382.28,128.41,370.52,129.39,8.82,384.24,124.49
10003002-06,10,003,002-06,687,392,20,12,726,356,692,395,539,543,18,621,474
10003002-07,10,003,002-07,747,377,16,13,787,328,751,373,614,501,16,681,445
10003002-08,10,003,002-08,747.77,379.22,9.26,8.27,744.2,372.97,727.29,401.94,662.76,459.18,14.39,721.19,406.89
10003002-09,10,003,002-09,555,252,12,12,566,247,539,277,486,322,15,527,290
10003002-10,10,003,002-10,548.39,272.76,8.58,9.54,571.27,247.01,556.97,267.99,436.8,370.99,17.17,490.21,326.17
10003002-11,10,003,002-11,796,366,10,15,826,348,787,383,690,452,29,757,414
10003002-12,10,003,002-12,556,266,16,12,602,230,568,269,461,343,31,515,316
10003002-13,10,003,002-13,387,180,12,11,397,185,400,180,344,229,12,378,207
10003002-15,10,003,002-15,809.36,437.57,8.97,15.95,831.29,414.65,789.43,460.5,717.66,512.33,25.92,768.5,478.44
10003002-16,10,003,002-16,595.2,70.18,8.56,12,605.47,75.32,523.04,146.66,554.67,94.47,12.88,576.89,85.93
10003002-17,10,003,002-17,1208,115,13,13,1225,113,1140,195,1165,152,18,1180,138
10003002-18,10,003,002-18,501.19,178.72,5.83,8.74,513.82,170.95,478.85,201.06,432.23,233.11,19.43,458.45,219.51
10003002-19,10,003,002-19,386.99,193.98,10.67,7.76,400.56,187.19,390.87,197.86,344.31,223.07,19.4,367.59,219.2
10003002-21,10,003,002-21,497,303,14,5,506,291,523,287,422,361,23,454,349
10003002-22,10,003,002-22,518,319,4,11,524,305,520,316,387,449,10,444,395
10003002-23,10,003,002-23,694.33,301.16,23.24,14.87,713.85,295.58,673.88,342.98,538.18,462.89,24.17,606.96,407.12
10003002-24,10,003,002-24,595.31,239.08,12.38,16.19,617.21,220.03,596.26,246.7,543.87,276.22,25.72,575.3,271.46
10003002-25,10,003,002-25,580.64,320.29,11.07,12.04,600.73,301.3,563.66,337.38,486.41,408.49,18.11,508.51,392.49
10003002-26,10,003,002-26,493,111,8,7,511,110,499,117,464,136,15,483,131
10003002-27,10,003,002-27,510,228,11,10,531,207,523,218,438,286,17,477,261
10003003-01,10,003,003-01,542,20,8,4,557,17,478,83,537,18,14,531,21
10003003-02,10,003,003-02,151,19,4,4,156,22,152,28,126,45,9,118,58
10003003-03,10,003,003-03,319,25,3,4,325,18,280,60,302,32,6,308,30
10003003-04,10,003,003-04,843,262,18,10,879,234,862,263,592,520,16,644,480
10003003-05,10,003,003-05,521,95,5,9,536,87,502,121,503,112,11,515,107
10003003-06,10,003,003-06,185,84,2,2,191,74,184,90,135,133,6,163,108
10003003-07,10,003,003-07,668,313,9,11,689,294,662,322,541,430,18,597,387
10003003-08,10,003,003-08,550.67,228.78,6.93,9.9,565.52,213.93,531.85,251.56,490.25,288.21,10.89,515.01,268.4
10003003-09,10,003,003-09,700.49,478.16,12.96,10.82,704.95,461.43,696.43,489.34,569.51,609.91,14.47,639.75,542.71
10003003-10,10,003,003-10,558,305,11,5,567,277,555,305,455,403,9,493,368
10003003-11,10,003,003-11,310,593,11,9,329,566,306,597,258,639,17,288,614
10003003-12,10,003,003-12,519,235,10,7,535,220,525,234,428,314,16,475,279
10003003-13,10,003,003-13,180.88,23.82,3.64,7.3,193.1,22.12,187.54,28.3,182.52,24.95,6.71,185.04,27.73
10003003-15,10,003,003-15,901,282,11,5,925,256,850,330,832,334,23,869,315
10003003-16,10,003,003-16,772.76,33.81,9.3,6.91,790.28,32.58,673.93,136.24,758.35,43.55,7.1,757.9,48.17
10003003-17,10,003,003-17,809,172,18,10,840,161,801,197,767,206,20,793,198
10003003-18,10,003,003-18,367,90,11,3,377,89,355,106,342,111,11,360,101
10003003-19,10,003,003-19,519.89,335.76,19.13,8.1,540.12,318.6,543.13,322.65,415.47,429.14,22.13,472.54,398.15
10003003-21,10,003,003-21,616.09,451.14,12.92,15.9,655.84,408.41,640.93,430.27,521.69,536.6,16.89,580.32,491.88
10003003-22,10,003,003-22,560,401,11,9,593,364,564,384,394,572,9,489,481
10003003-23,10,003,003-23,572,247,33,8,601,235,579,265,454,368,25,484,371
10003003-24,10,003,003-24,418.44,227.18,6.44,10.34,434.06,216.54,430.13,223.72,385.19,254.93,14.86,404.65,249.91
10003003-25,10,003,003-25,609,201,33,18,652,187,624,222,526,279,40,585,260
10003003-26,10,003,003-26,475.74,169.54,7.15,12.22,487.06,167.35,464.17,187.11,433.99,207.93,9.49,448.65,195.58
10003003-27,10,003,003-27,388.84,116.43,5.86,2.93,396.17,112.04,378.59,129.61,361.75,143.53,5.13,373.46,134.74
10003004-01,10,003,004-01,768,31,12,8,785,27,703,100,710,57,17,740,56
10003004-02,10,003,004-02,45.64,12.93,2.28,0.76,47.93,12.93,46.4,15.21,38.04,22.82,0.76,35.75,25.87
10003004-03,10,003,004-03,495,30,6,2,509,24,449,65,476,30,13,480,33
10003004-04,10,003,004-04,372,62,7,3,383,53,368,65,335,83,9,348,81
10003004-05,10,003,004-05,647,73,12,10,667,73,587,109,628,95,9,641,91
10003004-06,10,003,004-06,587,219,16,12,616,202,590,236,505,307,21,525,304
10003004-07,10,003,004-07,987,323,25,14,1021,306,982,344,914,386,31,907,419
10003004-08,10,003,004-08,644.56,123.99,11.81,10.82,662.27,117.1,625.86,154.5,617.99,147.61,17.71,629.8,141.7
10003004-09,10,003,004-09,402.1,333.42,3.93,9.84,413.02,320.45,393.46,353.72,331.28,406.15,4.12,358.99,384.36
10003004-10,10,003,004-10,770,274,13,15,802,258,782,286,706,335,24,752,311
10003004-11,10,003,004-11,289.83,302.82,6,1,298.83,281.84,301.82,284.83,245.86,339.8,13.99,270.84,319.81
10003004-12,10,003,004-12,496,342,6,9,508,312,514,320,290,553,7,397,445
10003004-13,10,003,004-13,586.92,277.82,8.11,5.25,595.42,265.67,586.27,274.78,519.7,331.14,19.21,545.81,322.24
10003004-15,10,003,004-15,463.78,184.91,9,8,468.78,189.91,449.79,207.9,400.81,249.88,8,425.8,228.89
10003004-16,10,003,004-16,293.52,73.98,1.04,5.45,293.75,71.33,287.88,76.16,277.96,78.09,9.89,284.29,76.16
10003004-17,10,003,004-17,548.12,240.35,9.77,6.84,559.85,220.81,531.51,247.19,450.42,324.38,18.56,500.25,286.27
10003004-18,10,003,004-18,890.48,235.08,7.74,8.24,901.96,229.83,850.74,276.8,821.02,290.8,12.98,845.75,274.81
10003004-19,10,003,004-19,526,315,8,6,526,311,528,302,457,363,18,485,336
10003004-21,10,003,004-21,639,237,17,12,664,222,633,264,522,352,24,571,323
10003004-22,10,003,004-22,507.64,341.06,6.14,8.77,522.54,332.29,514.65,344.56,355.96,490.1,12.27,419.96,433.11
10003004-23,10,003,004-23,916,330,47,20,965,332,938,352,765,490,32,773,518
10003004-24,10,003,004-24,356.69,106.92,6.62,7.81,365.79,99.97,354.74,113.3,347.13,107.78,9.28,345.7,118.54
10003004-25,10,003,004-25,364.18,228.62,13.64,7.22,376.21,218.19,361.77,235.83,316.85,267.12,16.85,328.89,266.32
10003004-26,10,003,004-26,676,228,9,11,683,225,648,266,609,274,22,649,258
10003004-27,10,003,004-27,863.16,349.57,14.14,8.07,877.83,332.96,850.41,359.39,757.25,438.47,23.87,785.54,414.26
10003005-01,10,003,005-01,871.76,115.72,23.57,14.16,909.29,104.62,824.37,180.91,748.28,220.03,30.06,733.09,270.18
10003005-02,10,003,005-02,417.51,43.12,8.82,4.9,427.31,39.2,392.03,79.39,402.81,55.86,10.78,410.65,58.8
10003005-03,10,003,005-03,49,3,2,1,50,4,49,5,48,4,2,48,6
10003005-04,10,003,005-04,83,10,3,0,88,10,85,12,82,11,2,83,12
10003005-05,10,003,005-05,657,76,12,8,670,74,623,119,628,100,9,644,88
10003005-06,10,003,005-06,732.96,162.99,8.78,5.86,736.87,161.04,709.54,186.41,656.84,216.67,16.59,666.6,226.43
10003005-07,10,003,005-07,471,90,19,8,500,80,490,93,417,146,24,454,123
10003005-08,10,003,005-08,1027.21,331.91,13.35,17.17,1049.15,316.65,941.37,433.01,908.95,440.64,21.94,957.59,404.4
10003005-09,10,003,005-09,530.58,300.67,5.12,9.35,543.21,281.35,531.29,305.18,453.36,377.21,12.43,493.42,343.19
10003005-10,10,003,005-10,685,362,16,12,725,310,687,373,508,530,21,594,460
10003005-12,10,003,005-12,804,460,6,11,820,416,811,445,513,736,13,666,576
10003005-13,10,003,005-13,510.54,208.17,22.01,16.01,543.55,194.18,511.53,220.18,466.49,241.22,30.02,504.5,225.21
10003005-15,10,003,005-15,1133.24,344.12,17.95,18.79,1177.29,317.98,1087.35,409.79,1044.04,424.33,23.92,1095.07,403.2
10003005-16,10,003,005-16,824.08,44.1,6.04,6.02,831.15,38.09,712.68,142.51,786.04,50.13,15.02,805.02,41.15
10003005-17,10,003,005-17,461,206,9,11,466,211,465,213,415,251,12,433,239
10003005-18,10,003,005-18,494,216,18,11,507,225,505,231,466,251,16,485,244
10003005-19,10,003,005-19,440,280,11,8,448,275,458,262,390,325,10,402,317
10003005-21,10,003,005-21,749,484,9,13,779,426,772,455,600,625,14,663,570
10003005-22,10,003,005-22,848,631,15,14,864,614,843,641,623,851,23,732,750
10003005-23,10,003,005-23,563,133,22,7,585,136,560,154,511,179,31,525,196
10003005-24,10,003,005-24,582.5,277.43,19.75,19.75,617.06,272.49,602.25,281.38,524.25,341.6,27.64,570.65,308.03
10003005-25,10,003,005-25,794.6,397.47,19.3,13.02,830.5,378.1,790.57,411.22,685.76,491.46,27.72,734.27,465.89
10003005-26,10,003,005-26,805,188,11,16,827,181,803,203,724,250,27,773,223
10003005-27,10,003,005-27,712,341,8,13,734,313,711,345,638,405,17,675,377
10003006-01,10,003,006-01,295,12,7,1,298,9,268,41,280,19,2,276,24
10003006-02,10,003,006-02,397,30,8,10,410,34,365,76,355,64,15,359,77
10003006-03,10,003,006-03,306,12,8,2,308,10,278,44,300,16,2,299,16
10003006-04,10,003,006-04,603,160,10,17,626,156,605,173,496,264,20,486,294
10003006-05,10,003,006-05,713,104,7,5,727,96,674,141,674,131,13,690,122
10003006-06,10,003,006-06,344.96,66.04,6.03,4.01,363.99,53.03,340.77,69.22,318.85,90.06,6.06,327.89,82.07
10003006-07,10,003,006-07,482,180,8,7,502,157,496,170,431,228,8,452,213
10003006-08,10,003,006-08,698.79,449.09,8.65,16.83,724.85,420.35,671.63,491.99,590.05,548.36,27.06,638.41,513.6
10003006-09,10,003,006-09,621.36,545.33,9.23,17.38,643.05,522.09,624.35,554.49,496.43,681.26,12.15,568.58,612.18
10003006-10,10,003,006-10,645,424,9,10,679,385,672,405,496,565,20,562,507
10003006-12,10,003,006-12,287.75,206.56,8.07,9.07,287.97,202.3,291.95,215.41,182.37,321.98,7.04,230.96,263.35
10003006-13,10,003,006-13,610.88,355.93,16,15,648.87,318.94,646.87,325.94,549.89,399.92,27.99,583.89,388.92
10003006-15,10,003,006-15,682.07,168.02,14,9,713.07,150.02,669.07,196.03,654.06,193.03,19,683.07,175.02
10003006-16,10,003,006-16,510.66,32.92,4.16,7.22,514.9,35.93,455.59,93.01,467.18,69.97,9.3,475.6,67.82
10003006-17,10,003,006-17,48.4,61.9,1.08,1.1,52.52,57.85,53.25,56.07,47.95,59.25,3.15,52.19,58.13
10003006-18,10,003,006-18,725,159,7,5,731,154,706,174,683,180,15,705,171
10003006-19,10,003,006-19,111,34,3,2,119,27,107,36,103,35,6,102,43
10003006-21,10,003,006-21,714,317,21,16,760,289,720,317,596,421,30,660,384
10003006-22,10,003,006-22,283,194,5,2,284,185,287,193,220,256,5,243,233
10003006-23,10,003,006-23,681.93,421.72,18.94,11.96,731.78,376.85,713.83,406.76,551.33,556.31,19.94,611.14,519.42
10003006-24,10,003,006-24,603.88,298.32,12.39,8.71,626.6,275.57,620.65,288.72,519.87,370.1,24.07,551.41,351.33
10003006-25,10,003,006-25,544.3,237.16,14.58,10.69,568.59,215.77,558.88,237.16,490.84,284.78,18.47,514.17,272.15
10003006-26,10,003,006-26,678,266,10,8,703,247,653,294,607,323,17,668,289
10003006-27,10,003,006-27,523,123,8,10,540,117,516,143,484,152,18,507,145
10003007-01,10,003,007-01,292,26,5,3,301,22,265,52,261,40,5,274,39
10003007-02,10,003,007-02,330.72,26.44,5.08,5.02,337.85,26.33,319.3,40.1,312.74,44.37,6.17,317.85,39.55
10003007-03,10,003,007-03,583,53,14,11,605,48,564,84,563,65,16,573,62
10003007-04,10,003,007-04,714,152,15,13,742,147,710,179,583,282,22,570,315
10003007-05,10,003,007-05,498.22,90.09,9,7,508.22,85.09,484.21,115.1,469.19,118.12,11,481.2,111.11
10003007-06,10,003,007-06,548,270,14,9,576,248,547,278,414,397,14,477,348
10003007-07,10,003,007-07,597,240,13,7,612,231,592,249,523,304,13,528,309
10003007-08,10,003,007-08,541,502,11,13,550,484,534,513,420,616,19,467,576
10003007-09,10,003,007-09,117.98,103.97,1.08,2.15,119.06,101.28,117.98,102.36,92.12,128.22,3.23,103.43,115.82
10003007-10,10,003,007-10,857,401,13,9,888,374,860,400,662,585,15,766,490
10003007-12,10,003,007-12,526,285,11,14,555,271,529,294,415,401,14,470,350
10003007-13,10,003,007-13,228.9,93.09,4.48,7.04,235.3,91.86,231.52,97.78,200.54,123.01,6.6,211.85,118.88
10003007-15,10,003,007-15,588.25,287.61,13.03,5.58,604.07,275.51,568.7,316.46,544.5,334.15,10.24,567.77,317.39
10003007-16,10,003,007-16,565.52,81.93,3,13.99,582.51,81.93,541.54,109.91,538.55,108.91,5.99,561.53,90.92
10003007-17,10,003,007-17,421.38,152.91,7.02,5.14,431.38,146.84,418.24,153.95,394.99,168,11.25,408.15,165.95
10003007-18,10,003,007-18,344.11,173.52,7.84,5.88,345.09,172.54,359.79,161.76,295.09,215.68,9.8,329.4,187.25
10003007-19,10,003,007-19,368,194,13,6,375,189,388,185,327,232,11,350,214
10003007-21,10,003,007-21,51,81,1,6,62,73,57,76,41,93,4,47,91
10003007-22,10,003,007-22,1003,451,17,12,1039,417,1018,442,841,601,23,930,528
10003007-23,10,003,007-23,569.07,270.28,15.06,4.04,572.22,268.15,563.17,278.24,441.67,386.69,19.06,494.86,353.58
10003007-24,10,003,007-24,687,175,8,9,682,181,673,197,625,219,20,668,198
10003007-25,10,003,007-25,404.76,229.65,6.73,6.06,427.65,211.47,405.43,228.98,349.53,271.41,12.8,377.82,249.86
10003007-26,10,003,007-26,820,258,17,12,854,244,825,270,766,307,23,800,287
10003007-27,10,003,007-27,189,169,2,1,190,158,183,174,145,206,8,161,195
10003008-01,10,003,008-01,107,29,1,4,109,30,104,34,99,38,2,106,33
10003008-02,10,003,008-02,326,12,10,7,344,10,296,53,315,17,11,323,18
10003008-03,10,003,008-03,539,133,14,13,574,117,543,141,493,182,9,520,174
10003008-04,10,003,008-04,899.75,541.85,18,23.99,968.73,473.87,945.74,513.86,722.8,721.8,21.99,816.78,637.82
10003008-05,10,003,008-05,998,306,17,9,1013,297,953,350,910,385,19,951,350
10003008-06,10,003,008-06,910,401,29,20,974,362,916,425,759,550,41,794,556
10003008-07,10,003,008-07,688,371,8,12,701,350,684,374,557,483,27,628,429
10003008-08,10,003,008-08,753,434,10,9,769,417,757,438,674,506,12,713,477
10003008-09,10,003,008-09,504,287,11,9,521,263,496,293,422,357,11,468,321
10003008-10,10,003,008-10,535,113,5,11,544,111,528,125,508,135,12,516,135
10003008-12,10,003,008-12,664.6,434.38,18.29,9.91,710.8,398.52,662.14,448.55,481.56,616.59,16.99,582.3,523.09
10003008-13,10,003,008-13,639.58,201.01,16.35,7.69,645.35,208.71,630.93,213.51,578.99,255.83,18.27,592.46,250.06
10003008-15,10,003,008-15,257,200,7,9,268,200,268,198,239,219,10,254,211
10003008-16,10,003,008-16,827.48,142.07,11,9.01,852.49,133.07,779.46,200.09,790.45,167.09,16.01,816.47,155.08
10003008-17,10,003,008-17,348,74,4,8,350,72,329,98,332,91,4,338,82
10003008-18,10,003,008-18,564,143,4,7,570,133,540,167,518,168,17,532,170
10003008-19,10,003,008-19,484,273,11,17,515,252,521,244,425,324,17,456,315
10003008-21,10,003,008-21,771.5,326.57,15.25,15.25,788.94,316.51,776.75,337.62,669.75,425.4,24.36,724.35,388.97
10003008-22,10,003,008-22,425,289,7,10,435,276,427,287,334,368,15,363,351
10003008-23,10,003,008-23,665.67,313.84,18.76,15.13,690.15,301.42,664.12,330.02,534.82,435.11,20.83,591.04,398.88
