GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOMCM,G16PRECCAS,G16PREOOTH,G16USSRKEN,G16USSRBOU,G16USSRFLE,G16USSRMAN,G16USSRDUK,G16USSRCRA,G16USSRCAO,G16USSRMAR,G16USSRPAT,G16USSDCAM,G16USSDFAY,G16USSDEDW,G16USSDLAN,G16USSDPEL,G16USSDWIL,G16USSDMEN,G16USSLCLE,G16USSLGIL,G16USSOLAN,G16USSOTAY,G16USSNBIL,G16USSNHEB,G16USSNMAR,G16USSNWEL,R16USSRKEN,R16USSDCAM
22033003-69,22,033,003-69,254.5,154.2,24.1,4.7,7,1.4,1.2,113,103.4,43.4,15.4,4.9,4.9,3.9,0.8,0.4,66.5,54.6,7.6,8.2,0.8,0.2,1.2,3.5,1.9,0,0,1.9,2.1,1.2,1,160.8,102.1
22033003-70,22,033,003-70,528.7,194.1,35.1,3.4,7.3,2,3.9,235.1,209.2,95.1,28.3,7.3,6.3,7.3,0.5,0.5,74.1,77.1,3.4,10.2,2,0,0,6.3,0.5,1,0,3.9,2.4,1,2,419.4,137.1
22033003-71,22,033,003-71,893.3,182.7,30.6,12.5,16.7,0.7,1.4,464.7,190.3,204.9,61.1,13.9,9.7,4.2,3.5,2.1,59.7,86.8,5.6,9.7,0.7,0,0.7,1.4,2.1,0,0,2.1,0,0,0.7,649.5,108.4
22033003-72,22,033,003-72,481.7,476.9,27.4,6.1,4.9,1.2,6.7,256.4,99.9,82.2,32.9,14.6,9.7,7.9,1.8,0.6,199.2,167.5,32.3,35.3,4.3,4.3,4.3,6.7,1.8,0.6,0.6,3.6,2.4,0.6,0,299,266.1
2203301-100,22,033,01-100,6,681,5,13,1,0,1,9,10,4,1,1,4,5,0,0,288,167,85,73,10,1,8,3,0,0,0,8,1,1,0,2,113
2203301-101,22,033,01-101,10.1,487.2,2,10.1,0,0,0,11.1,5.1,1.1,0,0,1,0,0,0,255.3,137,26.3,20.5,0,0,1,1,1,1,4,6.1,0,1,0,9,335
2203301-102,22,033,01-102,122.4,220.5,27.1,11.2,3.9,0.8,2.5,36.9,49.8,22.6,7.8,9.2,6.7,3.4,0.6,0.8,93.4,70.2,14.8,17.3,3.6,1.7,3.9,12,3.9,0.3,0,4.5,1.1,1.4,0,25.4,75.2
2203301-103,22,033,01-103,559.1,288.3,28.1,12.1,6.1,0.8,3,304.2,128.2,97.1,37.9,14.4,17.4,3.8,0,0,117.6,95.6,12.9,12.9,0,0,2.3,9.9,3.8,0.8,1.5,6.1,6.1,4.6,0.8,406.6,147.2
2203301-104,22,033,01-104,134.5,845.9,11,7,3,4,7,74.7,31.9,36.9,8,4,1,2,1,4,374.6,265,48.8,90.7,4,3,0,3,2,0,1,6,0,3,2,88.7,446.4
2203301-105,22,033,01-105,662.2,298.1,38.4,6.5,13.8,2.2,0,267.6,288,84.1,36.3,18.9,12.3,5.8,0.7,1.4,108.8,126.2,8,12.3,2.9,0.7,1.4,11.6,5.8,1.4,0,5.8,2.9,0.7,0,455.5,183.5
2203301-107,22,033,01-107,168.7,199.7,28.6,8.8,11.1,0,4.8,74.8,54.1,33.4,17.5,8,8.8,1.6,0,0,97.8,78.8,6.4,18.3,0.8,0.8,0,5.6,1.6,0,0,4,3.2,0,0.8,87.5,141.6
22035000001,22,035,000001,332,112,3,0,0,0,0,97,148,48,13,9,4,4,0,0,50,37,7,5,0,1,1,1,0,0,1,4,0,1,0,186,53
22035000003,22,035,000003,25.1,25,0,0,0,0.1,0,8.2,12.1,2.1,4,0,0,3,0,0,10.7,4.5,1.2,0.1,0,0,0,1,0,1,0,0,0,1,0,7.1,11.9
22035000004,22,035,000004,38,8,0,0,0,0,0,11,6,5,2,3,1,0,0,0,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,20,5
22035000005,22,035,000005,11,0,1,0,0,0,0,3,6,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22035000006,22,035,000006,11,275.2,0,0,0,0,2,14,4,5,2,3,5,3,0,0,121.1,62,20,17,1,5,0,5,1,0,2,7,2,1,0,7,80.1
22035000007,22,035,000007,5,260.8,1,0,0,0,5,10,6,2,0,3,1,1,1,0,127.9,61,8,15,2,7,0,2,1,1,1,5,0,1,0,2,94.9
22035000009,22,035,000009,17,265.6,3,0,0,0,1,12,21,7,0,3,1,2,0,0,125.8,66.9,14,7,1,3,1,0,2,1,1,4,0,2,0,19,105.8
22035000010,22,035,000010,2,184.4,0,0,0,0,1,4,6,0,0,0,2,0,0,0,89.2,46.1,10,4,0,1,0,2,0,1,0,2,0,0,0,2,68.2
22035000013,22,035,000013,10,429,4,2,0,0,3,18,19,3,0,1,2,4,1,2,193,103,24,17,3,6,1,4,1,1,1,10,0,1,0,7,158
22035000014,22,035,000014,7.9,116,0,2,0,3.9,1,8.8,5.9,4.9,2,2,0,0,0,0,39.3,27.5,8.8,6.9,0,0,1,0,0,1,0,3,0,2,0,5.9,51.1
22035000015,22,035,000015,23.5,14.1,0,0,0,0,0,4.7,0,6.6,3.8,0,0,0.9,0,0,8.4,1.9,4.7,0,0,0,0,1.9,0,0,0,0.9,0,0,0,13.2,6.6
22035000016,22,035,000016,217,27,0,1,0,0,0,89,18,62,9,10,2,2,0,0,16,14,0,3,0,0,0,0,0,0,0,2,0,1,0,86,18
22035000017,22,035,000017,55.5,34.9,0,0,3,0,0,12.3,14,14.4,0.2,1,5,0.1,0,0,19.6,6.1,6.3,1,0,1,0,0.1,0,0,0,0.1,0,1,0,27.9,17.4
22035000018,22,035,000018,111.8,14.3,0,1,0,0,0,43,9.6,14.3,4.8,5.7,2.9,1,0,0,13.4,8.6,1,0,0,0,0,0,0,0,0,0,0,0,0,38.2,7.6
22035000019,22,035,000019,166.1,64.2,3,0,0,0,0,63.5,16.2,36.1,5,9,6,0,0,0,47.2,9,5,1,0,1,0,0,0,0,0,3,0,0,0,63.5,36.1
2203500005A,22,035,00005A,11,5,0,0,0,0,0,3,8,5,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1
2203500005B,22,035,00005B,11,2,1,0,0,0,0,0,2,5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1
22037000001,22,037,000001,631.5,78.8,7,0,2,0,0,372.1,65.8,73.8,53.9,36.9,13,3,2,0,41.9,32.9,3,2,0,2,0,1,2,3,0,4,3,4,0,338.2,49.9
22037000002,22,037,000002,702,257,19.1,7.3,7,0,2.3,482.4,79,59.9,33.5,32.2,17,4,0,7.9,115.1,96.9,25.4,12.5,3,2.3,3,4.3,2,0,0,7.3,2,0.3,2,390.6,134.8
22037000003,22,037,000003,398,146,6,2,0,0,3,261,44,38,24,17,9,2,0,0,78,35,5,12,2,2,1,1,0,0,0,4,2,2,0,194,66
22037000004,22,037,000004,696.4,443.3,13.5,2.6,10.1,0,4,411,89.4,73.2,30,61.9,12.7,4,0,0,193.4,134.6,27.6,28.1,2,0,0,7.5,2,2,1,9.5,2,0,1,372.8,231
22037000005,22,037,000005,761.1,338.8,17.4,0.3,2.4,2.1,0.3,390,84.6,119.5,56.8,56.9,10.3,4.4,2,0,152.9,142,23.4,7.4,2.4,4.2,1,1.1,2,0,0.4,12.6,1,1.1,0,376,183.2
22037000006,22,037,000006,638.8,444.8,3.7,4.7,10,3,10.6,368.5,66,68,31.6,44.7,22,1,2,0,207.1,173.2,23.7,22.5,6,3.8,0,3.7,2,2,4,9.7,1,1.7,1,351.2,223.7
22037000007,22,037,000007,94,243,1,0,2,3,1,62,19,10,0,10,5,1,0,0,128,47,15,7,0,0,0,4,0,0,0,4,1,0,1,38,136
22037000008,22,037,000008,323,390,3,3,0,3,2,210,49,25,25,18,6,2,0,0,173,132,17,23,2,2,0,4,0,0,0,10,2,0,1,172,203
22037000009,22,037,000009,234,452,9,3,0,2,3,166,23,24,21,14,11,1,0,2,217,128,21,32,1,3,0,5,0,0,2,6,3,3,0,182,327
22037000010,22,037,000010,58.6,67.2,1,0.6,0.7,0,0.3,33.2,7.5,8.7,6.1,3.1,2.3,0.4,0.1,0,24,21.5,5.9,3.5,0.3,1.5,0.1,0.4,0.1,0,0,1.4,0,0.1,0,36.1,37
22037000011,22,037,000011,250.2,299,10.4,2.8,0,0,5.7,146.7,40.8,36,28.2,17.9,7.7,1.9,1.9,0,106.3,118.1,16.8,16.9,0,2.8,0.9,0.9,0.9,0,0,5.6,0,1.9,0,146.8,153.5
22037000012,22,037,000012,314,381,3,4,4,5,3,179,33,59,15,19,10,1,2,0,149,127,12,23,3,1,0,1,0,0,0,9,1,1,0,174,222
22037000013,22,037,000013,89.3,182.7,1.4,2.9,0.3,0.4,1.6,46.5,20,8.2,5.2,9.8,2.4,0.4,0,0,71.9,71.3,8.1,9.6,0,0.4,0.8,0.1,0.4,0,0,3,0,0,0,45.5,106.2
22037000014,22,037,000014,304.3,479,6.1,4.5,0.6,0.6,2.4,158.5,52.6,30.6,17.8,28.4,5.9,1.6,0,0,199.7,174.1,16.3,25.4,0,1.6,1.2,3.3,0.6,0,0,9.5,1,0,1,186.7,257.8
22039001010,22,039,001010,59.2,229.8,2.9,1,0,0,1.9,25.2,38.8,6.8,3.9,3.9,1,0,1.9,0,66,57.2,11.6,2.9,1.9,1,3.9,4.8,0,0,0,2.9,6.8,1,1.9,26.2,77.6
22039001020,22,039,001020,148.8,25.4,1,0,2,0,2,32.3,63.6,17.6,24.5,2,2.9,0,0,0,5.9,13.7,1,0,0,0,0,0,0,2,0,2.9,0,0,0,73.4,17.6
22039001030,22,039,001030,400.1,48.3,3.1,0.3,0,0,0.2,102.5,174.5,38.9,21.6,15.8,5.6,1.3,2.1,0.1,16.2,20.9,3.3,0.1,0.2,0.2,0.2,0,0,0,0,7.3,6,3.2,0,141.2,19.4
22039001031,22,039,001031,183.9,111.7,0.9,4.7,0,0,2.8,38.5,99.5,13.1,8.4,12.2,8.4,4.7,0.9,1.9,33.8,28.1,4.7,1.9,2.8,2.8,3.8,0,0,0,0,4.7,0,2.8,0,63.8,36.6
22039001040,22,039,001040,78.4,117.6,0,0,2,0,2,17.5,33.2,12.1,13.2,10.2,1,1,0,0,37.2,24.2,6,8,0,1,0,0,0,0,0,2,0,0,0,40.7,57.3
22039001041,22,039,001041,387.8,92,1,1,0,3,2,82.1,184,18.8,39.6,32.6,4,5,0,0,35.6,28.7,5,3,0,0,0,1,2,0,0,5,3,1,0,113.8,44.5
22039001050,22,039,001050,106,34,0,1,0,1,1,26,41,15,11,2,0,0,0,0,23,8,3,0,2,0,0,0,0,0,0,1,0,0,0,42,18
22039001060,22,039,001060,169,12,1,0,6,0,0,30,70,26,19,10,0,0,0,0,1,5,3,5,0,1,0,1,0,0,0,4,2,0,0,87,6
22039001080,22,039,001080,68,146,0,3,0,3,1,12,51,6,3,5,1,0,0,0,42,50,10,8,2,1,0,3,0,0,0,6,2,3,0,22,49
22039001081,22,039,001081,19,165,1,0,0,0,0,5,30,5,0,0,1,2,0,0,37,40,6,12,3,3,1,1,3,6,0,7,2,1,0,2,24
22039001090,22,039,001090,32,71,0,1,0,0,0,12,14,8,0,1,0,1,0,0,23,28,3,3,0,1,1,0,2,0,0,0,2,0,0,12,24
22039001091,22,039,001091,122,135,1,1,0,0,6,34,69,16,4,5,3,0,0,0,30,29,11,12,0,0,1,2,2,0,0,8,4,0,0,49,53
22039001100,22,039,001100,110,55,3,0,0,0,1,18,68,20,4,4,3,0,0,0,17,19,1,5,0,0,0,0,0,0,0,2,2,0,0,47,23
22039001101,22,039,001101,145.8,106.2,1.1,0,2,1,0.1,40.8,73.2,14.2,13.1,10.1,2,5,0.1,0,34,30.8,3.4,0.1,2.1,1,0.1,0.1,0,0,0,1.1,2.2,1,0.1,49.8,42.4
22039001110,22,039,001110,8,507,1,3,0,1,4,12,66,5,1,2,2,1,0,1,161,131,47,17,3,5,2,2,0,2,0,15,2,4,0,5,162
22039001120,22,039,001120,24,257,0,0,2,0,3,10,33,5,3,1,1,4,0,0,71,74,12,8,3,2,1,2,0,0,0,2,6,1,0,12,75
22039001130,22,039,001130,440,36,3,4,3,1,1,81,215,45,38,13,4,5,1,0,19,10,3,0,0,1,0,1,0,0,0,1,3,1,1,154,24
22039001140,22,039,001140,344,27,1,3,4,0,1,69,154,41,34,16,6,1,0,0,13,10,3,5,0,0,1,1,0,0,0,3,3,1,0,117,19
22039001150,22,039,001150,335,53,3,3,2,0,1,54,167,38,33,24,2,2,3,1,17,20,5,2,0,1,0,1,0,0,0,3,2,0,0,112,29
22039001160,22,039,001160,4,311,0,3,0,0,1,16,23,1,0,1,4,4,1,0,78,103,11,12,0,2,0,0,0,0,0,6,0,1,0,0,120
22039001161,22,039,001161,51,1,1,1,0,0,0,11,32,1,4,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,21,2
22039001162,22,039,001162,37,86,1,0,2,0,0,12,23,7,6,2,0,0,0,0,17,33,1,3,0,0,0,0,2,0,0,0,0,0,0,18,16
22039001170,22,039,001170,33,156,0,0,0,3,0,19,14,7,0,2,4,0,0,0,49,38,7,11,0,4,0,0,2,0,0,3,0,3,0,23,47
22039001171,22,039,001171,133,21,0,0,0,0,1,21,79,5,4,10,2,1,0,0,8,8,1,3,0,0,0,0,0,2,0,2,0,0,0,52,8
22039002010,22,039,002010,445,30,4,2,0,0,3,110,179,39,42,22,6,2,0,0,12,14,5,2,1,0,1,6,0,0,0,7,2,3,0,153,17
22039002020,22,039,002020,241,58,1,0,0,0,0,54,106,22,29,8,6,1,3,0,18,15,4,6,0,4,0,1,0,0,0,4,0,1,0,68,9
22039002030,22,039,002030,346.9,39.2,1,1.9,1.9,0,0,91.7,143.3,39.2,33.5,22,4.8,0,0,1,24.8,8.6,3.8,1.9,0,1,0,1,0,0,0,1.9,0,0,1,87.9,13.4
22039002040,22,039,002040,280.8,139.2,1,6,0,1,4,55.8,143.1,20.8,39.4,18.4,4.1,2,0,0,57.9,33.8,13.9,10.9,0,0,1,3,0,0,0,2,0,1,0,64.6,59.6
22039003010,22,039,003010,383,55,4,0,0,3,6,95,181,53,21,13,6,1,1,0,19,11,4,5,1,0,0,0,2,0,0,1,9,0,0,141,23
22039003020,22,039,003020,156,158,4,4,1,1,0,47,105,7,9,4,2,0,1,1,51,48,5,6,0,5,0,5,0,0,2,4,3,3,1,47,39
22039003030,22,039,003030,319,182,12,7,1,0,4,67,167,26,25,25,5,2,3,0,54,38,16,9,0,4,0,4,3,0,0,12,1,4,0,80,43
22039003031,22,039,003031,196,39,1,1,0,0,0,63,87,7,13,11,5,2,0,0,12,15,3,1,1,1,0,1,0,0,0,7,0,0,0,55,13
22039003032,22,039,003032,116,45,4,0,0,0,0,25,43,10,18,5,1,1,1,0,10,10,3,6,0,0,1,2,0,0,0,4,0,0,0,50,6
22039003040,22,039,003040,525,114,4,2,1,4,6,120,245,50,39,24,12,3,0,1,39,38,9,11,1,0,3,2,0,0,0,9,0,1,0,181,46
22039003050,22,039,003050,317,26,4,1,0,0,0,77,141,35,20,10,5,2,1,0,15,4,3,1,1,1,0,1,0,0,0,4,1,0,0,119,10
22039003051,22,039,003051,53,7,1,0,0,0,0,10,32,4,4,4,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,1,1,0,0,21,2
22039003052,22,039,003052,25,0,3,0,0,1,0,4,17,3,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0
22039003060,22,039,003060,40,203,6,1,0,1,0,19,43,5,3,1,2,0,0,0,44,91,4,5,3,1,0,0,0,0,0,6,0,1,0,16,78
22039003070,22,039,003070,229.8,20.8,1,1,0,0,0,66.8,86.8,23.8,10.7,18.4,6.1,2,0,0,6.5,8.2,0.1,3,0,0,0,1,0,0,0,0,0,1,0,74.7,11.3
22039003071,22,039,003071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22039004001,22,039,004001,439,24,10,4,0,0,0,111,183,43,15,19,9,6,1,0,23,14,6,1,0,0,0,0,0,0,0,6,6,3,0,92,10
22039004010,22,039,004010,241,7,3,0,0,1,0,54,91,27,10,14,2,6,1,0,13,3,4,0,1,0,0,1,1,0,1,1,4,0,0,55,8
22039004011,22,039,004011,90,5,1,0,0,3,0,19,28,12,4,6,6,1,0,0,6,2,2,0,0,0,0,0,0,0,0,1,0,0,0,23,3
22039004012,22,039,004012,43,1,0,0,0,0,1,10,14,10,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2
22039004020,22,039,004020,158.2,5.8,1,1.9,0,0,1,39.5,56.9,28.9,7.7,9.7,4.8,0,0,0,8.7,3.9,1.9,1,0,1.9,0,0,0,0,0,1.9,0,0,0,63.7,4.8
22039004021,22,039,004021,16,0,0,0,0,0,0,3,3,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
22039004030,22,039,004030,408.7,48.5,1.9,0,3.7,0.9,0,92.4,142.8,54.1,37.3,31.7,14,2.8,0.9,0,29.9,8.4,11.2,2.8,2.8,0,0.9,0.9,0,0,0,2.8,3.7,0,0,162.4,10.3
22039004040,22,039,004040,98.8,5.7,0,0,0,0.9,0,25.4,11.2,7.2,3.1,16.3,1.2,0,0,0,11.2,8.4,0.9,0.9,0.9,0,0,0,0.9,0,0,0,0,0,0,35.5,1.9
22039005004,22,039,005004,231,6,2,0,0,0,3,63,50,33,19,14,13,2,0,0,15,5,0,3,0,0,0,0,0,0,0,1,1,0,1,76,3
22039005010,22,039,005010,252.6,62,6.4,1.1,0,0.2,0,55.6,65.9,56.7,21.3,18.1,4.8,2.3,0.2,0,29.5,20.4,7.1,5,0,2,1,0.1,0.1,2,1,2.1,1,0,1,75.6,25
22039005020,22,039,005020,202,35,1,1,1,0,0,36,62,20,29,23,6,2,0,0,12,16,2,1,0,0,0,0,0,0,0,0,3,0,0,56,14
22039005030,22,039,005030,196.5,8.7,3.8,0.9,0,1.9,0,41.5,52.7,25.5,31,16.9,10.3,1.9,3.8,0,7.6,1,1,0,0,0,0,1.9,0.9,0,0,0,0,0,0,53.7,9.5
22039005040,22,039,005040,396.3,24.6,5.1,0,1.3,1.1,1,81.9,127.8,30.3,50.9,33.6,17.2,7.2,0.1,0,15.2,10.6,2.8,3.2,1.2,0,1.1,6.1,0,0,0,4.2,1.3,0,0,139.9,8.8
22039005041,22,039,005041,280.8,43.4,3.9,0,1,1,0,56,99.4,32.8,35.7,28,1.9,4.8,0,0,29,9.7,1,0,0,0,0,0,0,0,0,1.9,0,1,0,88.8,12.5
22039005050,22,039,005050,91.2,3.2,0,0,0,0.1,0,37.3,16.3,11.4,5.7,10.4,4.6,0,0,0,1.8,1.6,0.1,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,37.2,1.1
2203902010A,22,039,02010A,63,5,0,0,0,0,0,21,11,5,5,11,0,1,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,19,5
22041000001,22,041,000001,223.5,33.2,3,0,0,0,2,95.2,31.2,26.3,8.9,21.4,7.1,0,0,0,19.3,12.6,2,16.7,0,1,0,0,0,0,0,1,0,0,0,91.7,22.1
22041000002,22,041,000002,294,12,3,1,0,0,0,116,20,77,19,38,5,0,0,0,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,128,10
22041000003,22,041,000003,389,36.7,3,0,0,0,0,198.5,20.8,63.5,36.7,23.8,4,3,0,0,24.8,18.9,2,7,0,1,0,2,3,1,0,1,0,0,0,164.8,14.9
22041000004,22,041,000004,179.4,271.4,3.8,2.9,0,0,1.9,71.9,24.9,34.5,3.8,23,6.7,0,2.9,0,87.3,85.4,15.3,17.3,2.9,1,1.9,1.9,0,0,2.9,10.6,2.9,1,0,62.3,102.6
22041000006,22,041,000006,660.3,123,5.1,1,0,2,0,247.6,42.8,154.4,50.3,51.6,17.1,3.1,0,0,87.6,48.3,10,2.1,5,0.1,0,2,1,0,0,3.1,5,0,0,277.2,50.9
22041000012,22,041,000012,380,43,2,1,0,0,5,168,34,82,17,33,7,0,0,2,34,20,1,7,0,0,2,1,0,0,0,1,0,0,1,196,26
22041000013,22,041,000013,316.1,26.4,2,1,0,0,0,106.9,75,59.8,14.6,20.6,6.9,2,0,0,24.4,12.7,2,0,0,0,0,1,0,1,0,1,0,0,0,127.5,18.5
22041000014,22,041,000014,390,154,5,5,0,0,0,152,81,53,22,44,10,1,5,1,77,48,10,7,0,3,0,4,0,0,3,5,0,0,0,178,44
22041000016,22,041,000016,74,421,4,3,0,0,5,49,10,23,2,17,5,0,0,0,184,110,20,38,1,5,0,1,2,1,0,5,2,0,0,30,166
22041000018,22,041,000018,10,3,1,0,0,0,0,2,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
22041000019,22,041,000019,371.1,60.6,1.2,1,0,0.1,0.2,162.2,17.2,102.3,18.9,27.3,9.7,0.2,3.3,0,44.7,22.8,1.2,13,1,0.1,2,1,0.1,0,0,0.1,0,1,0,204.1,27.1
22041000020,22,041,000020,103,257,0,1,0,3,2,63,13,32,0,9,3,0,0,1,108,70,11,22,1,1,0,6,0,0,0,4,0,0,1,45,124
22041000021,22,041,000021,390.7,33.1,2.1,0,0,1,0.1,187.8,33.5,72.9,26.8,18.5,12.3,1.1,2.1,0,33.7,15.7,1.1,3,0,0,0,0,0,0,0,0,5,0,0,202.1,6.5
22041000022,22,041,000022,151,31,1,1,0,0,0,88,10,25,15,6,3,0,0,0,19,11,1,2,0,0,0,1,0,0,0,0,2,0,0,59,17
22041000024,22,041,000024,78.1,602.9,6.2,0,7,0,2,71.8,22.6,21.8,0.1,12.3,4.3,3,2,2,280.4,125.7,38,16.1,0,4,1,2.1,4,1,0,21,1,3,3,52.7,189.2
22041000026,22,041,000026,137.9,18.1,3.8,0.9,0,0.9,0,53.2,31.4,15.2,1.9,5.7,6.7,0.9,0,0,7.6,14.3,0.9,2.9,0,0,0,2.9,0.9,0,0,0.9,0.9,0,0.9,90.3,4.8
22041000027,22,041,000027,199,97,1,3,7,0,2,70,18,36,7,30,3,0,0,0,52,31,4,5,0,3,1,0,2,0,0,1,1,3,0,104,46
22041000030,22,041,000030,802.7,55.3,7,3,0,1,0,329.4,63,195.2,57.9,78,21,7,0,0,47.3,28.1,0,3,0,0,0,1,1,0,0,7,1,4,0,411.3,32.1
22041000031,22,041,000031,571.2,45.9,3.7,0,0,0.9,2.8,323.2,19.3,121.2,31.2,22,11,2.8,4.6,0,30.3,30.3,3.7,1.8,0,0.9,0,0.9,0.9,0,0,0.9,0,0,0,295.7,19.3
22041000032,22,041,000032,412,97,5,0,0,0,0,189,24,107,15,38,9,3,0,0,48,21,4,10,2,0,0,1,0,0,0,2,0,0,0,199,39
22041000033,22,041,000033,163,31,0,0,0,0,0,77,8,66,2,4,5,0,0,0,14,15,0,2,0,1,0,0,0,0,0,0,0,0,0,122,19
2204100004A,22,041,00004A,49.6,15.6,0.2,0.1,0,0,0.1,21.1,4.1,10.5,2.2,4,0.3,0,0.1,2,7.7,4.6,1.6,0.7,0.1,0,0.1,0.1,0,0,0.1,0.4,0.1,0,0,20.7,4.4
2204100004B,22,041,00004B,114,35,4,3,0,0,0,54,20,27,6,8,3,3,0,0,18,12,0,0,0,0,2,2,0,0,0,0,2,0,0,74,12
2204100013A,22,041,00013A,57,5,1,0,0,0,0,33,8,7,0,1,1,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
220430001-1,22,043,0001-1,170,68,4,2,2,0,2,20,7,47,61,14,3,2,2,0,27,23,6,11,0,0,0,3,0,2,0,3,0,0,0,91,35
220430001-2,22,043,0001-2,168.5,29.9,0.9,0,0,0.9,0,38.5,5.1,52.2,18.8,18,5.1,1.7,0,0,19.7,12.8,7.7,1.7,0,0,1.7,4.3,0,0,0,0.9,0,0.9,0,64.2,21.4
220430001-3,22,043,0001-3,356,45,6,0,1,1,0,99,20,121,64,29,11,1,0,0,27,7,6,2,0,0,2,5,0,0,0,4,2,3,0,137,13
220430002-1,22,043,0002-1,58.3,22.8,0,1.8,0.9,0,0,19.1,3.6,11.8,7.3,5.5,1.8,2.7,0,0,9.1,6.4,2.7,3.6,1.8,0,1.8,2.7,0,0.9,0,1.8,0,0,0,39.2,6.4
220430002-2,22,043,0002-2,256.1,25.8,6,1,0,0,1,70.3,15.3,87.1,20.1,32.1,3.3,4.1,0,0,14.2,14.8,2.5,4.1,0,0,1.1,0.3,2,3,0,5,2,0,0,133.9,15.3
220430002-3,22,043,0002-3,192,19,3,1,0,1,0,47,21,67,12,20,1,1,0,0,20,7,2,4,0,0,0,2,0,0,0,5,2,3,0,90,4
220430002-5,22,043,0002-5,366,29,6,3,0,0,1,115,32,120,34,22,17,5,2,0,10,8,0,4,0,2,0,2,0,0,0,2,4,1,0,122,4
220430003-1,22,043,0003-1,55.7,271.2,3,3.2,1.1,0,0,16.9,15.4,18.2,3.7,9.5,5.2,1.3,2,0,93.9,53.6,16.3,23.4,0.2,3,0.2,1.3,2,3.1,0,6.2,1,0,0,21.8,76.6
220430003-2,22,043,0003-2,113,172,3,0,0,0,1,48,13,27,13,6,6,0,2,0,76,35,12,21,2,3,1,1,2,0,2,2,1,1,0,54,67
220430003-3,22,043,0003-3,30,103,1,0,0,0,0,9,6,11,1,1,2,0,0,0,36,18,7,9,2,2,1,1,0,0,2,1,1,0,0,15,53
220430004-1,22,043,0004-1,443,32,6,3,1,0,1,143,41,166,26,39,9,8,0,0,19,8,2,5,0,0,0,1,0,0,0,1,1,1,0,157,17
220430004-2,22,043,0004-2,414,33,5,0,1,0,1,104,50,139,49,26,9,6,1,0,14,8,3,4,2,0,0,4,0,1,0,3,0,1,3,105,6
220430004-3,22,043,0004-3,238,17,9,3,0,0,0,61,20,99,23,20,6,1,1,0,4,10,0,0,0,2,1,0,2,1,0,3,0,0,0,82,4
220430005-1,22,043,0005-1,474.2,19.7,5.7,4.1,1.1,3,1,141.8,38.5,153.3,42.3,28.3,22.7,4.2,1.1,2,21.8,7.5,0.2,11.3,0,0,0,4.2,0.2,0,0,5,5,1,0,139.4,15.3
220430005-2,22,043,0005-2,341.3,20.6,9.4,0.9,0,0,2.8,114.4,19.7,111.6,16.9,42.2,10.3,2.8,0,0,20.6,4.7,5.6,6.6,0,2.8,0,2.8,0,0,0.9,4.7,0.9,1.9,0,136,9.4
220430005-3,22,043,0005-3,232,13,5,1,0,0,3,48,16,81,22,24,13,1,1,1,10,1,0,3,1,0,1,1,2,0,0,2,3,0,0,71,8
220430006-1,22,043,0006-1,396.4,37.6,8.2,2.8,3.6,0,0,92.5,29.4,167.2,52.2,25.8,16.5,6.4,0,0,27.4,9.1,1.8,2.8,0,1.8,0.9,0.9,0,0.9,0,0.9,0,0,0,177.7,15.6
220430006-2,22,043,0006-2,378,23,7,3,0,1,0,128,28,131,36,15,16,1,0,0,27,9,4,0,0,0,0,3,2,0,0,2,0,0,0,130,13
220430006-3,22,043,0006-3,306.1,25,6.3,0.2,8,2.4,0.2,85.9,24.4,96.9,33,23.6,13.2,2.6,1.6,0,11.2,10.3,4.8,5.5,1.2,2,0.2,1.2,0,1,0,4.1,1.2,0.8,0,99.6,12.2
220430006-4,22,043,0006-4,147.6,17.4,1.8,1.2,0.4,0,0,35.5,17.6,44.9,22.8,15.2,6.5,0.6,0,0,9.6,1.9,1.2,5.2,0,0.2,0.1,0.1,0,0.1,0,0.1,1,1,0,69.3,7.4
